page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,コーポレートスローガン,中核企業,代表者,別名,前身組織,創業国,創業地,創業者,合併組織,売上高,売上高データの年,後継組織,従業員数,従業員数データの年,持株会社,本拠地,本拠地国,株主,業界,業界内地位・規模,構成組織,種類,解散年,設立年,読み,資本金,資本金データの年,起源
3586,JR,151305,35530,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10009,NECグループ,124522,30653,False,0,216,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,1,0,0,0,0,0,0
27680,DDIセルラーグループ,242357,46868,False,0,29,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,14,1,2,1,1,0,0,1
30937,研音グループ,119959,25151,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35430,イオングループ,221796,70186,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35456,マツモトキヨシグループ,49954,18465,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35608,HMV,76569,22794,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38188,パナソニックグループ,178098,48525,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38189,NTTグループ,122792,30615,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39680,近鉄グループ,206826,43644,False,1,178,0,2,0,0,0,0,0,3,0,0,0,0,0,0,6,0,1,0,9,0,154,2,0,0,1,0,0,0
49356,TBS系列,89127,17018,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49657,フジテレビ系列,83502,14808,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49681,日本テレビ系列,79963,15550,False,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,0,1,0,0,0
49830,三菱グループ,84795,28297,False,1,131,1,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,119,2,0,0,1,0,0,1
49870,住友グループ,84787,26627,False,1,185,5,7,0,0,1,0,1,1,6,0,0,0,0,0,2,1,0,0,1,0,155,2,0,0,1,0,0,2
49933,三井グループ,112585,27576,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52152,アルピコグループ,59336,20560,False,1,151,1,4,0,0,0,0,0,0,29,0,0,0,0,0,4,0,0,6,24,0,82,1,0,0,0,0,0,0
52824,小田急グループ,105373,20399,False,1,133,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,14,0,111,1,0,0,1,0,0,0
64555,フィアット,133399,35779,False,1,177,1,0,4,8,0,0,2,3,13,0,0,0,1,0,4,4,8,4,19,3,99,2,0,2,0,0,0,0
69560,ベネトン,60256,19525,False,0,15,0,0,2,1,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,2,0,0,0,0
69697,みずほグループ,23713,6826,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70104,トーマス・クック・グループ,45024,13285,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72238,芙蓉グループ,103822,31824,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72239,安田財閥,55167,18975,False,0,92,0,2,0,1,0,0,1,2,15,0,0,3,0,0,0,0,2,0,9,2,48,3,2,0,1,0,0,1
75457,雄図グループ,27357,8426,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83971,ネーション・マルチメディア・グループ,26608,6989,False,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,4,1,0,0,0,0,0,0
91440,三菱財閥,78135,28011,False,1,108,0,12,1,0,0,0,2,2,3,0,0,5,0,0,1,1,1,0,24,0,41,12,0,0,1,0,0,2
98760,第一勧銀グループ,70267,14311,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98761,興銀グループ,37945,9160,False,0,97,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1,0,0,1,0,0,0
99408,セゾングループ,178554,55149,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100531,渋沢財閥,72137,16748,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100537,住友財閥,63405,26118,False,1,86,0,0,0,0,0,0,3,4,0,0,0,5,0,0,3,0,1,0,20,1,37,5,1,0,1,0,0,5
100546,浅野財閥,26606,7867,False,0,45,0,3,0,0,0,0,0,1,1,0,0,1,0,0,4,0,0,0,2,1,27,1,0,2,1,0,0,1
100550,日産コンツェルン,127687,32524,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100552,森コンツェルン,29755,8868,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100555,日窒コンツェルン,63321,21131,False,0,98,0,5,3,1,0,0,0,2,5,0,0,0,0,0,0,1,0,0,5,4,65,4,0,2,1,0,0,0
100559,日曹コンツェルン,21255,6080,False,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,1,0,0,1
100569,古河財閥,170002,61247,False,1,353,0,2,0,0,0,0,0,33,9,0,0,36,0,0,6,0,0,0,29,2,218,8,1,6,1,0,0,2
102842,クーン・ローブ,33819,9822,False,0,15,0,0,0,4,0,0,0,0,1,0,0,3,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1
102844,メロン財閥,27234,7836,False,0,24,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,7,1,7,1,0,1,1,0,0,1
104242,トヨタグループ,99446,32355,False,0,364,5,5,0,0,0,0,0,4,5,0,0,0,0,0,0,2,0,5,19,0,313,5,0,1,0,0,0,0
104257,UFJグループ,44801,10767,False,0,107,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,99,1,1,0,1,0,0,0
106749,ソニーグループ,130098,20736,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106854,ソニーフィナンシャルホールディングス,115863,18361,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107402,京成グループ,115200,22431,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107407,ボルボ,110704,26812,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108788,一ツ橋グループ,89048,20203,False,0,174,0,2,0,0,0,0,0,1,7,0,0,0,0,0,0,1,1,29,1,0,130,1,0,0,1,0,0,0
108792,鈴木商店,62264,21471,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110095,LVMH,104877,23927,False,1,37,0,0,1,6,0,0,0,0,2,1,1,0,1,1,0,2,2,0,2,1,11,2,0,2,1,0,0,1
112945,西武グループ,114287,31094,False,1,84,1,2,0,0,1,0,0,1,2,0,0,0,0,0,3,2,1,0,3,0,65,2,0,0,1,0,0,0
113073,京王グループ,80606,17373,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117468,バンダイナムコグループ,77494,19197,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117733,阪急東宝グループ,33355,11076,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117835,理研グループ,58913,13182,False,0,52,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,1,0,0,1
119960,アルトリア,56652,12978,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121251,大宇財閥,31955,8407,False,1,32,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,13,3,2,0,4,0,0,0
122350,名鉄グループ,100764,21696,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124075,横河グループ,32374,9838,False,1,42,0,4,0,0,0,0,0,2,1,0,0,0,0,0,4,0,2,0,0,0,25,2,0,0,1,0,0,1
126823,BMG,36040,10678,False,0,44,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,1,1,1,2,1,25,1,2,1,1,0,0,1
126880,ゼネラル・エレクトリック,235348,50958,False,1,153,0,0,1,19,1,0,0,1,23,1,1,0,1,1,1,2,2,3,16,2,70,2,0,2,0,1,1,2
133777,山日YBSグループ,58949,13293,False,0,41,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,2,0,25,1,0,2,1,0,0,1
135936,相鉄グループ,51733,12220,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136675,サムスングループ,80511,25231,False,2,139,0,0,7,11,0,0,1,3,0,1,1,0,1,1,1,1,1,0,19,2,79,4,0,2,1,1,1,1
145239,サバンジュ財閥,28429,8053,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148129,コチ財閥,26038,7617,False,0,35,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,0,1,0,5,1,19,1,0,0,0,0,0,0
148170,オヤック財閥,22833,6785,False,0,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,4,1,8,2,0,1,0,0,0,1
149787,ヘテ,31668,9466,False,1,21,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,10,2,0,1,0,0,0,0
151733,ニューズ・コーポレーション (1979-2013),92128,29326,False,1,177,0,0,12,5,6,5,3,1,9,1,1,17,0,0,1,3,8,7,10,2,76,1,2,6,0,0,0,1
158293,VJA,84478,23336,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161017,フォルクスワーゲングループ,100940,33726,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162758,モルガン・スタンレー,149128,34170,False,1,87,0,0,1,1,6,0,0,1,3,1,1,0,1,1,2,3,2,8,1,2,45,2,0,3,0,1,1,1
163290,社台グループ,64836,16967,False,0,65,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,2,51,2,0,1,1,0,0,1
168828,ゴールデン・ハーベスト,55578,16065,False,2,44,0,0,1,22,0,1,1,7,0,0,0,0,0,0,0,2,0,2,3,0,1,2,0,2,0,0,0,0
169215,ANAグループ,74072,13249,False,1,96,1,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,2,0,77,2,0,0,1,0,0,0
172357,日の丸自動車グループ,56540,17224,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172542,クラレ,83540,21699,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176815,北海道交運グループ,39552,12684,False,0,33,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,1,0,1,1,0,0,1
179801,テレメッセージ,100850,20121,False,0,46,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0
180119,日立グループ,194717,38689,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183945,つばめグループ,50811,13754,False,0,33,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,18,2,0,0,0,0,0,0
200056,森村グループ,32632,9695,False,0,53,1,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,2,39,1,0,0,1,0,0,0
201839,味の素グループ,32239,8664,False,0,41,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,31,1,0,0,1,0,0,0
202253,岩泉自動車運輸,31097,8694,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211744,広交本社,34123,8919,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214970,文化放送グループ,69340,18565,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223340,伊藤財閥,26706,7581,False,0,26,0,0,0,0,0,0,1,2,1,0,0,7,0,0,0,0,1,0,2,0,7,1,0,2,1,0,0,1
238485,リオ・ティント,185228,38357,False,1,89,0,5,4,1,0,0,0,0,10,1,1,0,1,1,0,2,1,1,5,0,48,3,0,4,0,0,0,1
239148,ヤサカグループ,53942,17704,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239840,セントラルグループ,63289,15651,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242542,ジー・オーグループ,37976,13304,False,0,42,0,0,17,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,19,1,1,0,0,0,0,0
248772,阪九フェリー,168597,44332,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250374,大輪会,44301,9902,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260163,村上ファンド,62615,20610,False,0,55,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,0,1,1,1,0,0,0
281019,ワーナー・ミュージック・グループ,73120,17334,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281056,ユニバーサル ミュージック グループ,66113,17317,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284083,電力系通信事業者,33675,9554,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291742,MBS企画,61204,15017,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296394,三井住友,46140,14264,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309401,LGグループ,29766,7389,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314096,ハイアール・グループ,54426,14751,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315973,スワイヤー・グループ,48729,13989,False,0,78,0,2,2,7,0,1,1,2,0,0,0,0,1,0,0,1,1,0,5,1,50,2,0,1,0,0,0,1
323062,ザ・リーディングホテルズ・オブ・ザ・ワールド,30657,8229,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326491,京阪グループ,115132,28428,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330098,GSグループ,24748,6873,False,0,16,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,8,1,0,1,0,0,0,1
331510,ハイアットホテルアンドリゾーツ,65951,21142,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339363,ベルテルスマン,40162,12449,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348397,NBCユニバーサル,57242,14126,False,1,57,0,0,1,3,0,0,0,0,6,0,0,0,0,0,0,1,2,17,1,0,19,3,0,2,1,0,0,1
349429,SKグループ,79956,17235,False,0,84,0,0,2,1,1,0,1,0,7,0,0,0,0,0,0,0,1,0,14,2,51,1,0,2,0,0,0,1
351314,作画グループ,42284,12731,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355919,片倉財閥,24081,6633,False,0,16,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,2,1,0,0,1
356302,カールソン・カンパニーズ,30894,9415,False,1,41,0,0,1,2,0,1,1,3,3,0,0,0,1,0,0,2,1,0,11,0,10,2,0,2,0,0,0,1
356961,南京汽車,29086,8019,False,0,19,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,0,1,0,0,0,0
379831,よみうり,82319,20552,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388213,エリコン,53179,15392,False,1,92,0,9,0,1,0,0,0,0,8,0,0,0,0,0,3,1,2,0,16,4,46,1,0,1,0,0,0,0
390565,ユーコープ事業連合,42900,13601,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394143,ワオ・コーポレーション,56686,16656,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400630,コパスカー,21021,5982,False,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0
420149,CPグループ,56506,19487,False,1,115,0,0,1,9,1,0,0,2,2,1,1,0,1,0,0,1,1,3,35,3,49,3,0,1,0,0,0,1
422520,NSGグループ,57883,14702,False,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,42,0,44,1,0,0,0,0,0,0
422628,門司築港,83746,21826,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440766,シグ,42562,12896,False,0,37,0,1,0,1,1,0,0,0,6,0,0,0,0,0,0,0,1,0,5,0,19,1,0,1,0,0,0,1
445275,森村財閥,21976,6685,False,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,2,0,1,1,0,0,0
449188,T&Dホールディングス,58991,13227,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472399,アクサ,169264,30369,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473409,寺小屋グループ,34204,8608,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
485819,DFSグループ,59333,16626,False,3,61,0,0,2,8,0,0,3,13,0,0,0,0,1,0,2,2,0,10,2,1,13,0,0,3,0,0,0,1
487120,アリアンツ,176706,33231,False,1,40,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,1,1,0,3,2,24,1,0,1,0,0,0,1
489305,現代自動車グループ,62709,12146,False,1,108,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,31,4,61,1,0,0,2,0,0,0
489447,ブッホ・コンツェルン,201634,47330,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
490226,三大コンピューターグループ,33255,10406,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491920,ラインメタル,65073,12613,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493343,パブリシス,80254,18662,False,1,25,0,0,0,4,0,0,0,1,3,1,1,0,0,0,0,2,1,0,2,0,6,2,0,2,0,0,0,0
516873,ハチソン・ワンポア,58954,18533,False,1,95,0,0,1,29,4,0,2,1,6,0,0,0,1,0,0,1,0,3,7,0,33,2,0,2,2,0,0,1
516945,古河グループ,126312,48042,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517282,フジサンケイグループ,231569,51366,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518567,日本フードグループ,24132,6618,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540147,JCBグループ,34303,9715,False,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,88,0,0,1,0,0,0,0
541860,ABBグループ,103567,23891,False,1,50,0,1,2,1,0,0,0,0,4,1,1,0,1,1,0,1,2,2,13,1,9,2,0,3,2,1,1,1
547696,スタイリングライフグループ,96591,25953,False,1,95,0,5,0,0,10,0,0,0,2,0,0,0,0,0,8,0,0,22,11,0,33,1,0,2,0,0,0,1
557672,フォックスコン,208671,39979,False,2,72,0,0,1,15,0,0,2,0,10,1,1,0,1,1,0,2,0,0,4,2,27,2,0,2,0,0,0,1
561153,加計学園グループ,78075,22748,False,0,100,0,6,4,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,81,1,0,0,1,0,0,3
574904,金秀グループ,28730,8204,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577988,東洋観光グループ,35865,8946,False,1,25,0,0,1,4,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,8,2,0,2,1,1,0,0
584039,CJグループ,41071,11939,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612759,西鉄グループ,107145,26957,False,0,211,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,183,1,0,0,1,0,0,0
620495,ボフダーン,32501,9945,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621185,今井書店,38296,9967,False,3,46,0,4,0,1,0,0,1,1,2,0,0,0,0,0,0,1,1,1,1,1,27,2,0,1,1,0,0,1
627577,東京七福グループ,24294,7345,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629714,コロナグループ,46145,14392,False,1,14,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,2,1,0,2,0,0,0,1
634344,毎日タクシーグループ,46095,11691,False,2,47,0,1,1,5,0,0,0,0,1,1,1,0,1,0,0,3,0,0,1,0,29,1,0,1,0,1,0,0
645453,中国海洋石油総公司,67507,19011,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654368,マンテンホテルグループ,43395,12222,False,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,6,1,0,2,0,0,0,1
668372,ジェネラル・ダイナミクス,76748,16826,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
670111,ボストン・コンサルティング・グループ,55903,17504,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686687,サンリブ・マルショクグループ,91587,38426,False,0,71,0,2,0,0,0,0,9,13,0,0,0,0,0,0,0,2,0,0,1,0,34,2,0,7,0,0,0,1
686983,藤山コンツェルン,25226,7086,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688937,白鹿グループ,24566,6687,False,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
696837,A.P. モラー・マースク,89672,19975,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697747,朝日自動車グループ,79278,31586,False,0,147,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,125,1,0,0,1,0,0,1
705622,阪急阪神東宝グループ,479918,91853,False,1,583,0,17,0,0,3,0,0,1,4,0,0,0,0,0,5,0,0,0,28,0,522,1,0,1,1,0,0,0
717552,両備グループ,75197,23285,False,1,134,7,4,1,3,1,0,0,0,2,1,1,0,0,0,0,0,1,0,11,0,98,2,0,0,1,0,0,1
724881,マトラ,29675,7784,False,0,20,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,5,2,1,1,0,0,0,1
725451,トヨタ勝又グループ,39132,11682,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742368,日本臨床腫瘍研究グループ,22579,6732,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743686,ティーケーグループ,27720,9636,False,0,33,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,25,1,1,2,0,0,0,0
747630,JXTGグループ,165821,48746,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750491,ながでんグループ,63502,16932,False,0,101,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,88,1,0,1,0,0,0,0
755383,ピアソン (企業),91200,20525,False,1,61,0,0,1,4,0,0,0,1,6,1,1,0,1,1,1,3,1,0,8,1,28,2,0,1,0,0,0,0
774962,編集グループSURE,31673,10162,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787790,スタンダードチャータード銀行,160181,39592,False,2,39,0,0,2,5,0,0,0,0,10,1,1,0,1,1,0,2,2,2,3,1,3,1,0,3,1,0,0,0
805187,渓仁会グループ,51698,21082,False,1,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,0,14,3,0,3,1,0,0,0
808579,おおすみグループ,34554,10176,False,0,26,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,10,0,6,1,0,2,0,0,0,1
808855,INGグループ,166731,32015,False,1,43,0,0,1,3,0,1,0,0,11,1,1,0,1,1,0,3,1,0,1,1,11,2,0,2,0,1,0,1
815832,クレディ・スイス,138131,35837,False,1,42,0,0,2,3,0,0,1,0,12,0,0,0,1,1,0,2,1,0,4,6,4,3,0,2,0,0,0,0
816560,マルイチグループ,28723,9555,False,0,68,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,52,1,0,1,0,0,0,1
821749,関西よつ葉連絡会,25247,7083,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830438,サンミュージックグループ,57611,11762,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832900,プリファード・ホテル・グループ,27079,7082,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834688,オータグループ,28979,8077,False,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900689,アフリカ・アメリカ・アジア・リコンシリエーショングループ,26151,7081,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927807,ボンバルディア,62706,19151,False,1,34,0,0,0,2,0,0,0,4,8,0,0,0,0,0,0,2,2,0,3,1,7,1,0,1,2,0,0,1
930347,HSBCホールディングス,305597,65323,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934538,タタ・グループ,56893,15032,False,1,70,0,1,3,4,0,0,2,1,1,1,1,0,1,1,3,3,8,0,14,2,17,2,0,2,0,1,1,1
954408,スウォッチ・グループ,98472,20055,False,1,39,0,0,2,3,0,0,0,3,0,1,1,0,1,1,0,2,2,0,5,1,15,1,0,1,0,0,0,0
959956,アルファ・グループ,26594,8623,False,0,49,0,2,3,4,0,0,0,1,1,0,0,0,0,0,0,1,2,2,14,2,14,2,0,1,0,0,0,0
961735,セリオ東洋グループ,26701,7227,False,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,1,0,0,1,1,0,0
965994,八馬財閥,21554,7564,False,0,23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,16,1,0,0,1,0,0,1
966023,寺田財閥,32345,13819,False,0,64,0,4,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,49,2,0,0,1,0,0,1
966526,鴻池財閥,55674,18746,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967962,ハイランドグループ,87469,17317,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975485,藤田財閥,43589,13954,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983744,南海グループ,104825,23652,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984978,玉皇朝グループ,27045,7137,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
