page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,人口,使用言語,別名,名前の謂れ,国,大陸分布地域,宗教・信仰,居住地（地域）,居住地（地形）,属する民族,構成する民族,読み,身体的特徴
303,蝦夷,103659,35878,False,1,,,,,,,,,,,,,,
326,アーミッシュ,83615,26148,False,1,,,,,,,,,,,,,,
2867,ケチュア,32123,8502,False,0,,,,,,,,,,,,,,
2869,グアラニー族,59852,18557,False,0,107,1,6,10,0,46,1,8,20,4,2,9,0,0
3009,メスティーソ,58849,18330,False,0,,,,,,,,,,,,,,
3139,インディアン,343719,147463,False,1,,,,,,,,,,,,,,
5656,インディオ,39640,11934,False,0,,,,,,,,,,,,,,
5858,クルド人,76286,21993,False,1,,,,,,,,,,,,,,
5954,ネイティブ・アメリカン,64128,18935,False,0,,,,,,,,,,,,,,
6951,モンゴル系民族,117150,32579,False,1,399,1,33,20,0,132,10,7,46,17,0,133,0,0
7414,ミュルミドーン人,21859,6758,False,0,,,,,,,,,,,,,,
7501,アシュケナジム,105437,34964,False,0,,,,,,,,,,,,,,
7504,セファルディム,51822,14064,False,0,69,0,3,10,1,26,3,4,7,1,5,9,0,0
7515,ミズラヒム,23377,6376,False,0,,,,,,,,,,,,,,
10326,アーリア人,63176,18363,False,0,,,,,,,,,,,,,,
10333,ドラヴィダ人,43490,13071,False,0,,,,,,,,,,,,,,
10495,ハッティ,20942,5990,True,0,,,,,,,,,,,,,,
12770,女真,64072,14943,False,3,93,0,0,28,1,33,0,0,5,6,1,14,5,0
12773,満州民族,87091,26105,False,1,,,,,,,,,,,,,,
14015,高山族,34276,9014,False,1,,,,,,,,,,,,,,
14080,漢,72181,18364,False,1,,,,,,,,,,,,,,
14137,台湾原住民,81600,29554,False,1,,,,,,,,,,,,,,
14241,華僑,99162,21241,False,0,,,,,,,,,,,,,,
14441,ゲルマン人,118759,32909,False,0,305,0,9,15,0,47,3,3,29,28,7,162,1,1
16044,五胡,40346,13339,False,0,160,0,0,0,0,59,0,0,21,1,0,77,1,1
16048,胡,39847,11468,False,0,,,,,,,,,,,,,,
16355,回族,81720,21849,False,1,,,,,,,,,,,,,,
16369,ドンガン人,49914,9867,False,0,,,,,,,,,,,,,,
17078,平埔族,31331,8998,False,0,,,,,,,,,,,,,,
17167,キリスト教徒,68421,26572,False,0,,,,,,,,,,,,,,
20070,ウイグル,371703,110700,False,1,,,,,,,,,,,,,,
20416,漢民族,98152,23164,False,1,,,,,,,,,,,,,,
21371,アングロ・サクソン人,37855,10761,False,0,,,,,,,,,,,,,,
22370,客家,51479,14493,False,3,,,,,,,,,,,,,,
23036,テュルク系民族,128380,41377,False,0,,,,,,,,,,,,,,
23813,ノルマン人,53558,14708,False,0,,,,,,,,,,,,,,
26207,華人,41922,7173,False,0,,,,,,,,,,,,,,
26463,スペースノイドとアースノイド,150196,22244,False,0,,,,,,,,,,,,,,
28785,カラード (南アフリカ共和国),32141,8389,False,1,,,,,,,,,,,,,,
30424,サン人,44531,14548,False,1,,,,,,,,,,,,,,
31159,ウズベク,74683,14304,False,1,,,,,,,,,,,,,,
31393,モンゴル人,21729,6111,True,0,,,,,,,,,,,,,,
35649,ガガウズ人,41809,9258,False,1,,,,,,,,,,,,,,
35662,モルドバ人,31227,8278,False,0,,,,,,,,,,,,,,
35664,モルドヴィン人,33127,8180,False,1,,,,,,,,,,,,,,
36115,マレー人,80670,16413,False,1,,,,,,,,,,,,,,
36791,トルクメン人,107691,30915,False,1,,,,,,,,,,,,,,
37798,ヴァンダル族,80373,27686,False,0,,,,,,,,,,,,,,
39851,タイヤル族,46980,15022,False,1,,,,,,,,,,,,,,
39965,マオリ,48117,14306,False,1,,,,,,,,,,,,,,
40463,本省人,45834,15060,False,1,,,,,,,,,,,,,,
40475,外省人,55443,18807,False,1,,,,,,,,,,,,,,
40729,タオ族,44587,13439,False,0,,,,,,,,,,,,,,
41059,和人,40216,11692,False,0,,,,,,,,,,,,,,
41062,倭人,112585,39564,False,0,,,,,,,,,,,,,,
43257,サイヤ人,324811,160243,False,0,,,,,,,,,,,,,,
43598,ドーリア人,29930,7887,False,0,,,,,,,,,,,,,,
44334,ケルト人,150145,31113,False,0,,,,,,,,,,,,,,
48695,少数民族,42531,13073,False,0,,,,,,,,,,,,,,
48883,サクソン人,35911,10124,False,0,39,0,0,12,1,1,0,3,13,3,3,2,0,1
49182,異邦人,24283,6807,True,0,,,,,,,,,,,,,,
49188,西戎,24938,6823,False,0,28,0,0,8,1,3,0,0,2,0,6,7,1,0
49190,東夷,50668,17007,False,0,,,,,,,,,,,,,,
52080,朝鮮民族,121808,29447,False,1,119,1,6,10,0,59,1,16,2,3,1,19,1,0
52662,イオニア人,26419,7704,False,0,,,,,,,,,,,,,,
52663,アカイア人,25214,7016,False,0,20,0,0,10,0,1,0,0,6,2,0,1,0,0
53189,パシュトゥーン人,47802,13870,False,0,78,1,1,12,0,22,0,1,14,2,1,24,0,0
53191,ハザーラ人,32382,8581,False,0,,,,,,,,,,,,,,
53225,フン族,212971,53544,False,0,124,0,10,8,0,25,16,0,31,10,6,9,1,8
53497,朝鮮族,85238,27164,False,0,,,,,,,,,,,,,,
56922,ユダヤ人キリスト教徒,26554,7403,False,0,,,,,,,,,,,,,,
57985,タタル部,52524,16033,False,0,,,,,,,,,,,,,,
57986,ケレイト,87016,30141,False,0,,,,,,,,,,,,,,
58572,ちゃんころ,31324,8047,False,0,,,,,,,,,,,,,,
58646,ヒスパニック,65562,19425,False,1,,,,,,,,,,,,,,
60168,パローツ人,23500,7741,False,0,,,,,,,,,,,,,,
61849,タタール,101489,31753,False,0,,,,,,,,,,,,,,
62069,オイラト,91163,33191,False,0,,,,,,,,,,,,,,
63996,エトルリア人,23891,6583,False,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0
65255,羯,31168,9720,False,0,,,,,,,,,,,,,,
65305,鮮卑,217858,49333,False,0,89,0,2,0,4,24,0,0,16,8,1,32,2,0
65322,羌,42336,11590,False,0,40,0,1,4,0,2,0,0,3,0,0,28,2,0
65438,テイ (民族),36808,11023,False,0,,,,,,,,,,,,,,
67575,タロン族,30807,7303,False,0,,,,,,,,,,,,,,
69604,バスク人,98140,22773,False,1,,,,,,,,,,,,,,
70013,ユダヤ人,326110,89094,False,1,,,,,,,,,,,,,,
71054,コーカソイド,107732,33247,False,0,,,,,,,,,,,,,,
77155,堅昆,140766,32711,False,0,,,,,,,,,,,,,,
77351,フツ,51498,14094,False,1,32,1,3,6,0,14,1,4,1,1,0,0,0,1
77627,西番,25342,7021,False,0,,,,,,,,,,,,,,
78527,契丹,113940,38896,False,0,,,,,,,,,,,,,,
81459,グラスランナー,36601,13346,False,0,,,,,,,,,,,,,,
81491,カルムイク人,47992,11695,False,0,,,,,,,,,,,,,,
81510,タイ族,115169,28502,False,0,,,,,,,,,,,,,,
81624,ウィルタ,61823,12026,False,1,,,,,,,,,,,,,,
81631,ニヴフ,78888,19863,False,1,,,,,,,,,,,,,,
84348,アレウト族,31611,9664,False,0,,,,,,,,,,,,,,
85075,ドゥーネダイン,75278,16614,False,0,,,,,,,,,,,,,,
85626,西ゴート族,35599,9764,False,0,,,,,,,,,,,,,,
86396,カザフ,106164,22793,False,1,213,1,7,20,1,73,2,5,46,4,3,51,0,0
86566,タイの華人,61043,16003,False,0,,,,,,,,,,,,,,
87777,ツングース系民族,86807,28727,False,0,,,,,,,,,,,,,,
88851,三韓,34879,9629,False,1,64,0,0,2,2,30,0,0,6,4,1,15,4,0
89591,有色人種,48730,13817,False,0,,,,,,,,,,,,,,
90981,ジュンガル,104362,28888,False,0,105,0,2,10,2,11,5,0,33,15,26,0,1,0
92256,ラテン人,47961,18049,False,0,,,,,,,,,,,,,,
93720,フランク人,48672,19579,False,0,,,,,,,,,,,,,,
94274,エスキモー,63665,22676,False,1,,,,,,,,,,,,,,
95607,イスラエル (民族),33806,9241,False,0,,,,,,,,,,,,,,
96077,ソマリ族,64328,15262,False,1,,,,,,,,,,,,,,
98591,チルコーティン,21649,5947,False,0,,,,,,,,,,,,,,
98620,ラコタ,41471,13300,False,0,122,0,2,55,2,6,1,1,8,0,9,38,0,0
98713,馬韓,46130,10386,False,1,,,,,,,,,,,,,,
98717,辰韓,66533,19459,False,1,,,,,,,,,,,,,,
98719,弁韓,56687,13671,False,0,,,,,,,,,,,,,,
98729,シャイアン族,34115,10281,False,0,21,0,0,3,1,1,0,0,7,0,2,6,1,0
98750,ホピ族,41872,14852,False,0,8,0,0,1,1,2,0,0,2,1,1,0,0,0
99047,ロマ,173987,58946,False,0,,,,,,,,,,,,,,
99653,スエビ族,41311,13013,False,0,,,,,,,,,,,,,,
100224,ムラート,68654,17567,False,1,,,,,,,,,,,,,,
101353,ワイ人,39824,12830,False,0,,,,,,,,,,,,,,
101356,沃沮,66294,15690,False,0,,,,,,,,,,,,,,
101359,夫余,83277,25316,False,0,,,,,,,,,,,,,,
101369,ユウ婁,70079,22901,False,0,22,0,7,8,1,0,0,0,3,1,0,0,2,0
102881,プエブロ,51757,14883,False,0,,,,,,,,,,,,,,
102906,ディネ,43744,11498,False,0,,,,,,,,,,,,,,
105112,アティカメク,19512,5696,False,0,,,,,,,,,,,,,,
105177,キャリアー,23027,6639,False,0,8,0,0,4,1,1,0,0,1,0,1,0,0,0
105184,チペワイアン,25508,6535,False,0,,,,,,,,,,,,,,
105783,スラヴ人,89942,25205,False,0,,,,,,,,,,,,,,
105797,帰化人,22464,6903,True,0,,,,,,,,,,,,,,
106571,ポントス人,30753,9281,False,0,,,,,,,,,,,,,,
108064,モン族 (Hmong),49686,13340,False,1,,,,,,,,,,,,,,
108193,ミャオ族,120100,39679,False,1,,,,,,,,,,,,,,
108427,ベルベル人,93440,25589,False,1,,,,,,,,,,,,,,
108547,モン族 (Mon),60243,14258,False,1,72,1,3,5,0,40,8,4,8,0,0,2,0,1
109899,ラージプート,66686,17899,False,0,,,,,,,,,,,,,,
113549,バルカン人,72015,29886,False,0,,,,,,,,,,,,,,
113749,クリンゴン人,90907,41762,False,0,,,,,,,,,,,,,,
115690,アイマラ,43265,15192,False,0,,,,,,,,,,,,,,
116192,月氏,69814,21563,False,0,,,,,,,,,,,,,,
116624,モンゴロイド,179404,47570,False,0,721,0,5,9,1,76,56,8,117,70,0,378,0,1
116800,チャーンゴー人,26460,7976,False,0,,,,,,,,,,,,,,
120151,ガリア人,69266,12179,False,0,,,,,,,,,,,,,,
122253,ラテン民族,44148,9375,False,0,,,,,,,,,,,,,,
124534,ラーオ族,56129,13746,False,1,,,,,,,,,,,,,,
124867,スー族,133819,77106,False,0,,,,,,,,,,,,,,
128322,スキタイ,144650,55507,False,0,,,,,,,,,,,,,,
128356,アボリジニ,117573,38282,False,0,,,,,,,,,,,,,,
128883,ケイジャン,76722,14709,False,0,21,1,4,2,1,1,1,0,10,0,1,0,0,0
128886,ペンシルベニア・ダッチ,90606,13885,False,0,,,,,,,,,,,,,,
129182,マジャル人,90660,20674,False,1,,,,,,,,,,,,,,
129286,コージャ,31167,12456,False,0,,,,,,,,,,,,,,
135292,ペリシテ人,34688,10334,False,0,18,0,0,7,0,0,0,0,7,4,0,0,0,0
136442,チュクチ,47236,8934,False,0,,,,,,,,,,,,,,
137022,チョロ,30417,11222,False,0,,,,,,,,,,,,,,
137160,ヴォルガ・タタール人,49898,15949,False,1,43,1,2,4,0,11,0,7,2,1,10,3,1,1
139012,カラーリット,22694,6868,False,0,,,,,,,,,,,,,,
139430,オセット人,56512,13143,False,0,,,,,,,,,,,,,,
140771,高麗人,100428,32601,False,2,,,,,,,,,,,,,,
141744,イングーシ人,47700,9641,False,0,,,,,,,,,,,,,,
142210,グウィッチン,21464,5683,False,0,,,,,,,,,,,,,,
142219,ユト,26090,8775,False,0,30,0,0,20,1,0,0,0,4,0,1,4,0,0
142228,南スラヴ人,64638,16003,False,0,,,,,,,,,,,,,,
142854,サルマタイ,100196,46166,False,0,,,,,,,,,,,,,,
142860,アラン人,49615,16332,False,0,,,,,,,,,,,,,,
143597,東ゴート族,35564,9114,False,0,16,0,0,5,1,4,0,0,1,2,2,0,1,0
143604,トリンギット,27106,8498,False,0,,,,,,,,,,,,,,
143611,ゴート族,129323,38167,False,0,,,,,,,,,,,,,,
143878,サカ,110215,19237,False,0,,,,,,,,,,,,,,
144102,トハラ人,46146,15440,False,0,,,,,,,,,,,,,,
148745,中華民族,64401,14307,False,2,,,,,,,,,,,,,,
149792,ナイマン,76417,24962,False,0,,,,,,,,,,,,,,
149841,バルラス,43929,12051,False,0,,,,,,,,,,,,,,
150660,ガラティア人,24796,6974,False,0,,,,,,,,,,,,,,
150792,ダキア人,26125,7297,False,0,,,,,,,,,,,,,,
151816,色目人,32783,11060,False,0,39,0,0,1,1,24,4,2,0,0,0,6,1,0
152351,日系人,186609,54274,False,1,206,2,3,1,0,83,6,0,24,7,20,59,1,0
153619,大和民族,128137,44803,False,1,249,1,24,30,0,75,9,15,38,39,1,16,1,0
153624,日本民族,20762,5893,True,0,,,,,,,,,,,,,,
154307,ヤース,20313,5701,False,0,,,,,,,,,,,,,,
154771,南蛮,43374,13086,False,0,,,,,,,,,,,,,,
155331,ピクト人,87048,14600,False,0,,,,,,,,,,,,,,
155940,キプチャク,165405,66254,False,0,,,,,,,,,,,,,,
156257,トルグート,114724,40146,False,0,66,0,0,6,1,8,0,1,12,7,5,20,6,0
157679,メルキト,59581,25643,False,0,,,,,,,,,,,,,,
158046,熊襲,37529,10308,False,0,,,,,,,,,,,,,,
159148,トゥチャ族,40029,9511,False,1,,,,,,,,,,,,,,
160647,ランゴバルド人,116698,34894,False,0,,,,,,,,,,,,,,
167215,リーヴ人,45000,10048,False,1,,,,,,,,,,,,,,
167494,フール人,23662,6958,False,0,,,,,,,,,,,,,,
170227,フルリ人,76240,30289,False,0,,,,,,,,,,,,,,
172067,コーチン・ユダヤ人,30611,8874,False,1,,,,,,,,,,,,,,
172268,アフリカーナー,93649,26189,False,1,,,,,,,,,,,,,,
172816,ベネ・イスラエル,26535,7312,False,0,,,,,,,,,,,,,,
174296,オロチョン族,41924,10941,False,1,,,,,,,,,,,,,,
174315,ナナイ,45512,11548,False,1,,,,,,,,,,,,,,
175243,台湾人,64541,18271,False,1,,,,,,,,,,,,,,
176193,タングート,35916,11054,False,0,,,,,,,,,,,,,,
177630,エヴェンキ,81224,15698,False,1,35,1,3,5,0,10,0,7,4,1,3,0,1,0
178381,ブラック・ジュー,31059,9585,False,0,,,,,,,,,,,,,,
178767,アジア系民族,52468,13260,False,0,,,,,,,,,,,,,,
180101,イヌイット,34978,9923,False,1,72,1,11,12,1,8,0,3,18,4,13,1,0,0
180832,チャハル,62735,19043,False,1,,,,,,,,,,,,,,
181933,隼人,121458,37739,False,0,77,1,0,7,1,1,0,0,38,11,0,16,1,1
182847,パパゴ,54541,23667,False,0,84,2,6,12,1,8,0,1,48,5,1,0,0,0
183096,ブルガール人,45803,12377,False,0,,,,,,,,,,,,,,
186601,ヒクソス,59427,20239,False,0,,,,,,,,,,,,,,
191733,ブリヤート人,43873,12363,False,1,,,,,,,,,,,,,,
194005,ホシュート,63457,22542,False,0,,,,,,,,,,,,,,
195449,チワン族,84271,25542,False,2,,,,,,,,,,,,,,
199962,チェロキー,55752,16072,False,0,,,,,,,,,,,,,,
200401,日系アメリカ人,218475,68596,False,1,,,,,,,,,,,,,,
204162,チャン族,64192,27038,False,1,,,,,,,,,,,,,,
207262,サーミ人,117683,48139,False,1,,,,,,,,,,,,,,
210593,アチャン族,45427,9905,False,1,,,,,,,,,,,,,,
213483,クリオーリョ,34246,11661,False,0,,,,,,,,,,,,,,
214067,チベット民族,77559,20056,False,1,,,,,,,,,,,,,,
214567,シベ族,45072,10277,False,1,,,,,,,,,,,,,,
216308,オーストラロイド,50691,12779,False,0,,,,,,,,,,,,,,
221033,チャム族,62088,17471,False,1,,,,,,,,,,,,,,
227202,サマリア人,62214,22588,False,0,,,,,,,,,,,,,,
237725,ソリア人,37778,8789,False,0,,,,,,,,,,,,,,
238678,ロマニオット,34886,12387,False,0,,,,,,,,,,,,,,
240497,モンゴル民族,107309,31448,False,0,473,0,11,53,2,67,4,10,53,10,5,257,1,0
243581,オジブワ,36943,9851,False,0,37,1,3,11,1,7,0,0,6,3,3,2,0,0
245038,ボシュニャク人,43431,11111,False,0,,,,,,,,,,,,,,
246442,内蒙古,36473,10777,False,0,,,,,,,,,,,,,,
247198,リス族,60880,13055,False,1,,,,,,,,,,,,,,
247267,ナシ族,42532,10960,False,1,35,2,5,1,0,2,0,9,12,1,0,2,1,0
247781,ハニ族,63722,13418,False,1,,,,,,,,,,,,,,
255004,デーン人,35953,8649,False,0,12,0,0,1,0,6,1,1,1,0,1,0,1,0
260211,トゥバ人,41056,9486,False,1,,,,,,,,,,,,,,
263621,吐谷渾,42016,12132,False,0,,,,,,,,,,,,,,
268644,ケタガラン族,32292,8544,False,0,,,,,,,,,,,,,,
273952,勿吉,65766,21503,False,0,,,,,,,,,,,,,,
275456,靺鞨,63611,17171,False,0,,,,,,,,,,,,,,
278484,ミレー族,27949,8229,False,0,,,,,,,,,,,,,,
278647,キンメリア人,64430,20675,False,0,,,,,,,,,,,,,,
289286,タジク人,78270,20965,False,1,,,,,,,,,,,,,,
289844,カラカルパク人,47775,11474,False,1,,,,,,,,,,,,,,
291975,ヴォルガ・ドイツ人,40886,10967,False,1,38,1,2,1,0,11,3,1,9,3,7,0,0,0
292453,ポマク,47700,11197,False,0,,,,,,,,,,,,,,
293501,アイヌ,178264,57107,False,1,,,,,,,,,,,,,,
302583,タジク族,41788,8908,False,1,34,1,10,4,1,1,0,2,13,0,1,0,1,0
303832,ハザール,132756,45664,False,0,,,,,,,,,,,,,,
303925,アルーマニア人,35222,11860,False,0,,,,,,,,,,,,,,
304384,バシキール人,61677,15931,False,1,,,,,,,,,,,,,,
305902,ネワール族,29002,10488,False,0,,,,,,,,,,,,,,
307129,バカ・ピグミー,37307,12002,False,0,44,1,5,22,0,6,0,1,3,1,4,0,0,1
311603,ピエ・ノワール,27015,7797,False,0,,,,,,,,,,,,,,
312212,ラピテース族,141676,23312,False,0,,,,,,,,,,,,,,
315639,アイリュ,25297,10516,False,0,,,,,,,,,,,,,,
322316,ペルシア人,53660,22950,False,0,64,0,13,19,1,14,6,5,3,1,1,0,1,0
325144,シンティ・ロマ人,25322,7902,False,0,,,,,,,,,,,,,,
345349,粟末靺鞨,24665,7517,False,0,4,0,0,0,0,0,0,0,2,0,1,0,1,0
351041,アヴァール,71848,23341,False,0,,,,,,,,,,,,,,
351753,シャン族,60545,12458,False,0,,,,,,,,,,,,,,
357870,琉球民族,140230,32138,False,1,127,0,23,2,0,21,0,3,53,20,4,0,1,0
358160,アパッチ族,42856,14846,False,0,,,,,,,,,,,,,,
358459,アイオリス人,26025,7026,False,0,,,,,,,,,,,,,,
362968,海西女直,27488,9576,False,0,,,,,,,,,,,,,,
368857,サラセン人,28620,8764,False,0,,,,,,,,,,,,,,
369194,ザクセン人,25209,6782,True,0,,,,,,,,,,,,,,
369773,パイワン族,45019,12441,False,0,,,,,,,,,,,,,,
379371,キクユ族,35572,11339,False,0,,,,,,,,,,,,,,
381018,バハ・カリフォルニア,25566,7434,False,0,,,,,,,,,,,,,,
389833,烏桓,69788,29368,False,0,,,,,,,,,,,,,,
392094,狄,28779,8985,False,0,,,,,,,,,,,,,,
392900,チェケル人,22946,7315,False,0,,,,,,,,,,,,,,
394474,カライ派,34472,10115,False,0,,,,,,,,,,,,,,
401610,オルドス,80583,26487,False,0,,,,,,,,,,,,,,
402606,マサイ族,59299,20998,False,1,,,,,,,,,,,,,,
404254,モリオリ人,28056,8203,False,0,,,,,,,,,,,,,,
406460,アイスランド人,41100,10483,False,1,,,,,,,,,,,,,,
407438,イサック,45569,8095,False,0,14,0,1,3,0,2,2,1,4,0,1,0,0,0
410606,トゥアレグ,51968,13149,False,1,28,2,4,6,0,11,1,1,1,1,1,0,0,0
411508,アルザス人,33773,9798,False,0,45,0,12,8,0,14,0,0,8,0,3,0,0,0
415564,トーアン族,46497,9053,False,1,,,,,,,,,,,,,,
419078,アムル人,44061,15017,False,0,,,,,,,,,,,,,,
419433,カッシート人,62033,16059,False,0,,,,,,,,,,,,,,
422706,コイコイ人,32850,8678,False,1,,,,,,,,,,,,,,
430544,八瀬童子,43201,14287,False,0,,,,,,,,,,,,,,
430940,オルガニア人,38911,9599,False,0,,,,,,,,,,,,,,
443081,バルト・ドイツ人,108051,29792,False,1,,,,,,,,,,,,,,
446096,グアンチェ族,26430,7191,False,0,,,,,,,,,,,,,,
