page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,主要都市,人口,人口データの年,人口密度,公用語,公用語以外の言語,別名,地名の謂れ,座標・経度,座標・緯度,成立年,所在地,民族,消滅年,種類,統治国家,読み,面積
5888,イロコイ連邦,75793,24712,False,0,37,0,0,0,0,0,0,5,1,0,0,1,1,26,0,2,0,1,0
7855,マカオ,206930,58163,False,2,91,2,1,1,1,5,6,30,1,2,2,3,7,11,0,3,5,10,1
15131,バルト三国,83924,18557,False,0,,,,,,,,,,,,,,,,,,,
17212,チベット自治区,127788,31669,False,1,48,1,1,1,1,0,0,25,0,0,0,1,1,11,0,2,2,1,1
17459,ウンマ (シュメールの都市国家),36477,9584,False,0,,,,,,,,,,,,,,,,,,,
20050,新疆ウイグル自治区,151729,34782,False,1,,,,,,,,,,,,,,,,,,,
24785,チャイニーズタイペイ,86609,28609,False,1,95,1,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,1,0
27946,フランス領ギアナ,109288,23838,False,0,,,,,,,,,,,,,,,,,,,
28179,ウォリス・フツナ,90152,19316,False,0,,,,,,,,,,,,,,,,,,,
30485,内モンゴル自治区,122594,27217,False,1,51,3,1,1,1,2,3,14,0,0,0,1,2,15,0,3,2,2,1
31494,トラスカラ王国,29313,7722,False,0,,,,,,,,,,,,,,,,,,,
38575,オランダ領アンティル,75662,23642,False,0,54,3,1,1,0,8,2,20,0,0,0,4,2,2,6,1,3,0,1
38602,モントセラト,71564,16420,False,0,,,,,,,,,,,,,,,,,,,
40131,プエルトリコ,191009,48728,False,0,86,11,1,1,1,2,1,31,1,0,0,7,2,8,0,7,12,0,1
46986,北ローデシア,84200,16946,False,0,,,,,,,,,,,,,,,,,,,
46988,ニヤサランド,39662,12752,False,0,,,,,,,,,,,,,,,,,,,
46991,ローデシア・ニヤサランド連邦,44817,11253,False,0,,,,,,,,,,,,,,,,,,,
46993,南ローデシア,87778,18003,False,0,18,1,0,0,0,1,0,7,1,0,0,3,1,0,1,1,1,1,0
47367,七王国,80296,20791,False,0,,,,,,,,,,,,,,,,,,,
53648,燕雲十六州,34901,11873,False,0,,,,,,,,,,,,,,,,,,,
59294,カルタゴ,125282,41102,False,1,32,1,0,0,0,1,0,7,1,4,4,5,2,4,2,1,0,0,0
60630,北マリアナ諸島,115404,23651,False,0,,,,,,,,,,,,,,,,,,,
60677,アメリカ領ヴァージン諸島,95017,23088,False,0,28,5,1,1,1,2,1,2,0,0,0,2,2,0,0,5,4,1,1
69377,バミューダ諸島,76108,17639,False,0,36,3,1,1,2,4,0,15,1,0,0,0,1,0,0,2,4,0,2
71797,教皇領,105212,28142,False,0,,,,,,,,,,,,,,,,,,,
75509,アメリカ領サモア,82875,23268,False,0,45,7,1,1,1,4,0,9,0,0,0,1,5,6,0,2,5,1,2
85490,ニューカレドニア,155937,42363,False,0,,,,,,,,,,,,,,,,,,,
88908,ジブラルタル,208431,49101,False,0,,,,,,,,,,,,,,,,,,,
95112,フランス領インドシナ,133538,30546,False,0,44,2,0,0,0,1,0,23,0,0,0,3,2,0,4,5,2,1,1
95475,広州湾租借地,55402,11141,False,1,,,,,,,,,,,,,,,,,,,
96109,プントランド,93667,26243,False,0,,,,,,,,,,,,,,,,,,,
102502,上海租界,77658,25811,False,0,,,,,,,,,,,,,,,,,,,
111362,カネム・ボルヌ帝国,46014,11251,False,0,16,1,0,0,0,0,1,1,0,0,0,1,1,10,1,0,0,0,0
116965,MHA,27566,9306,False,0,32,0,0,0,0,0,0,5,0,0,0,0,2,24,0,1,0,0,0
123711,バルト帝国,124642,39342,False,0,,,,,,,,,,,,,,,,,,,
124767,ジェームズタウン (バージニア州),46284,15072,False,0,,,,,,,,,,,,,,,,,,,
125188,海峡植民地,115824,26921,False,1,30,3,0,0,0,4,0,2,0,0,0,7,1,2,5,2,3,1,0
127106,レユニオン,103607,27136,False,0,50,2,2,2,1,2,1,13,0,2,2,3,2,8,0,4,3,0,3
129538,グアドループ,91830,19231,False,0,,,,,,,,,,,,,,,,,,,
131031,ガーンジー,68930,15925,False,0,33,2,1,1,1,2,0,14,0,0,0,1,1,2,0,2,5,0,1
131581,ジャージー,74829,19397,False,0,,,,,,,,,,,,,,,,,,,
132107,ニューアムステルダム,40621,10216,False,0,12,0,0,0,0,0,0,8,0,0,0,1,1,0,1,0,1,0,0
136441,チュクチ自治管区,66488,15606,False,0,,,,,,,,,,,,,,,,,,,
139923,広西チワン族自治区,106797,19801,False,3,,,,,,,,,,,,,,,,,,,
140080,寧夏回族自治区,61559,12143,False,1,46,8,1,1,1,0,0,14,0,0,0,1,3,9,0,1,5,1,1
145033,イギリス領ヴァージン諸島,78410,16122,False,0,,,,,,,,,,,,,,,,,,,
149748,マヨット,88558,18694,False,0,,,,,,,,,,,,,,,,,,,
154959,フランス領アファル・イッサ,39322,9656,False,0,34,1,1,1,0,2,0,5,1,0,0,4,1,8,4,2,3,0,1
156697,デーンロウ,31286,8545,False,0,,,,,,,,,,,,,,,,,,,
164670,クルディスタン地域,97308,23962,False,0,,,,,,,,,,,,,,,,,,,
171893,ヌーベルフランス,110997,40345,False,0,,,,,,,,,,,,,,,,,,,
171900,奥六郡,29447,8747,False,0,5,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0
176191,ブランデンブルク辺境伯領,52736,13147,False,1,,,,,,,,,,,,,,,,,,,
179271,オーランド諸島,88233,19038,False,0,23,2,1,1,1,1,1,6,0,0,0,1,2,1,1,1,2,1,1
180775,モレネ,54261,20270,False,0,57,1,1,1,0,3,0,30,0,0,0,5,3,0,4,1,6,0,2
184941,アブハジア,128886,36088,False,0,87,3,1,1,1,4,0,40,2,0,0,5,5,21,0,0,0,3,1
191996,イギリス領インド洋地域,41978,9923,False,0,17,3,1,0,1,1,0,2,0,1,1,1,1,0,0,2,2,1,0
192152,フランス領ポリネシア,109022,22334,False,0,41,4,1,1,1,4,5,2,0,0,0,0,1,5,0,9,6,0,2
192600,メリリャ,67189,15250,False,0,,,,,,,,,,,,,,,,,,,
198059,ハンティ・マンシ自治管区・ユグラ,55049,11963,False,0,31,3,2,1,2,1,0,7,0,0,0,1,4,6,0,2,0,0,2
200623,ネネツ自治管区,53384,11530,False,0,,,,,,,,,,,,,,,,,,,
207351,イギリス領南極地域,48136,10346,False,0,24,0,2,0,0,1,0,2,0,2,3,2,2,0,0,3,4,1,2
209437,西ベルリン,61509,19241,False,0,,,,,,,,,,,,,,,,,,,
209991,ピトケアン諸島,72087,20923,False,0,23,1,1,1,1,2,0,3,0,2,2,1,1,2,0,1,3,1,1
213287,セウタ,75498,17972,False,1,,,,,,,,,,,,,,,,,,,
215494,イスラム教徒ミンダナオ自治地域,69377,16251,False,1,31,4,1,1,0,0,0,12,0,0,0,2,1,6,0,1,1,0,2
221045,フランス領南方・南極地域,56287,12052,False,0,10,2,1,0,0,1,0,2,0,0,0,0,1,0,0,1,1,0,1
230873,トケラウ,79914,15297,False,0,,,,,,,,,,,,,,,,,,,
231467,タークス・カイコス諸島,72288,16251,False,0,,,,,,,,,,,,,,,,,,,
234807,フランス領インド洋無人島群,44620,9566,False,0,,,,,,,,,,,,,,,,,,,
235968,イタリア領東アフリカ,42923,13986,False,0,,,,,,,,,,,,,,,,,,,
242856,13植民地,87404,16367,False,0,,,,,,,,,,,,,,,,,,,
244036,軍政国境地帯,58658,11456,False,0,8,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,1,1,0
244912,テルセイラ島,30680,9657,False,1,,,,,,,,,,,,,,,,,,,
246852,デチェン・チベット族自治州,78110,15798,False,1,33,2,0,1,0,0,0,6,1,2,2,3,6,1,0,3,1,4,1
248527,ジェノヴァ共和国,121009,41962,False,0,27,1,1,1,0,3,0,6,0,0,0,5,1,0,7,1,0,1,0
248955,二小王国 (元朝),20201,5514,False,0,,,,,,,,,,,,,,,,,,,
249568,三大王国 (元朝),20834,5742,False,0,,,,,,,,,,,,,,,,,,,
252421,トリスタンダクーニャ,102229,35198,False,0,,,,,,,,,,,,,,,,,,,
256184,オランダ領東インド,107549,30638,False,1,60,3,1,1,0,0,6,14,0,0,0,2,5,14,3,1,9,1,0
291344,アンジュー帝国,254899,116988,False,0,,,,,,,,,,,,,,,,,,,
308192,フランス領赤道アフリカ,49716,10192,False,0,13,4,0,0,0,0,0,2,0,0,0,2,1,0,1,1,1,1,0
318517,オランダ海上帝国,58244,12431,False,0,8,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,4,1,0
350208,イギリス領ソマリランド,31344,9530,False,0,12,1,0,0,0,0,0,1,0,0,0,2,1,0,2,2,2,1,0
361292,ワルシャワ・ゲットー,139043,51451,False,0,,,,,,,,,,,,,,,,,,,
363885,イフニ,49641,9758,False,0,13,1,0,0,0,0,0,4,0,0,0,1,1,0,1,1,3,0,1
370129,バントゥースタン,42561,13322,False,0,,,,,,,,,,,,,,,,,,,
371518,未回収のイタリア,67489,19288,False,0,9,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,1,0
386952,イナクセシブル島,50798,13117,False,1,14,0,0,0,0,0,0,1,2,2,2,0,3,0,0,1,1,0,2
413662,三津七湊,36150,7900,False,0,,,,,,,,,,,,,,,,,,,
424132,ガガウズ自治区,74820,19092,False,0,,,,,,,,,,,,,,,,,,,
428825,イタリア領ソマリランド,30916,8643,False,0,20,1,0,0,0,1,0,2,0,0,0,4,2,0,5,1,4,0,0
429727,ベチュアナランド,84110,19692,False,0,35,2,0,0,0,1,0,6,1,0,0,3,1,6,6,6,3,0,0
436541,外満州,58975,22731,False,0,,,,,,,,,,,,,,,,,,,
442258,モレアス専制公領,58222,25816,False,0,,,,,,,,,,,,,,,,,,,
452953,ラガシュ,39653,12920,False,0,,,,,,,,,,,,,,,,,,,
477509,トランスカイ,49176,10668,False,0,23,2,1,1,0,1,0,4,1,0,0,3,2,0,3,4,0,0,1
477650,ボプタツワナ,51127,11602,False,0,,,,,,,,,,,,,,,,,,,
499397,十六大国,111794,34198,False,0,,,,,,,,,,,,,,,,,,,
502895,サンジョルジェ島,27365,7459,False,1,,,,,,,,,,,,,,,,,,,
520250,フランス領アンティル,46917,8884,False,0,,,,,,,,,,,,,,,,,,,
521468,膠州湾租借地,82594,24364,False,1,42,5,1,1,0,1,1,7,0,3,3,3,2,0,5,3,5,1,1
524735,英領ゴールド・コースト,87282,19097,False,0,,,,,,,,,,,,,,,,,,,
525767,ケープ植民地,141684,35181,False,0,,,,,,,,,,,,,,,,,,,
537753,フランス領西アフリカ,50881,10257,False,0,12,2,0,0,0,0,0,3,0,0,0,1,3,0,1,0,1,1,0
540762,群島 (沖縄),37974,9907,False,0,,,,,,,,,,,,,,,,,,,
544955,北カリブ自治地域,36132,8536,False,1,27,3,1,1,0,0,0,9,0,2,2,1,3,0,0,2,0,0,3
545004,南カリブ自治地域,35910,8472,False,1,27,3,1,1,0,0,0,9,0,2,2,1,1,0,0,2,2,0,3
588643,パナマ運河地帯,37338,9813,False,0,,,,,,,,,,,,,,,,,,,
619978,ミネルバ共和国,72337,13538,False,0,13,0,1,0,0,1,0,1,0,2,2,2,1,0,0,2,0,0,1
628592,ポンディシェリ連邦直轄領,63933,12011,False,0,43,2,1,1,1,4,1,28,1,0,0,0,1,0,0,1,1,0,1
634052,ザクセン＝ヴァイマル＝アイゼナハ大公国,62040,14272,False,0,33,3,1,1,1,0,0,10,0,0,0,7,3,0,5,1,0,0,1
642781,アルバ・ロンガ,45436,12947,False,0,,,,,,,,,,,,,,,,,,,
668314,サン＝ドマング,85669,25887,False,0,25,4,1,1,0,1,0,4,1,0,0,2,1,3,4,1,1,0,1
678434,オストマルク (ザクセン),124302,14499,False,0,,,,,,,,,,,,,,,,,,,
688841,連邦直轄領 (マレーシア),40865,9469,False,1,,,,,,,,,,,,,,,,,,,
696686,ウガリット,67145,22594,False,1,39,0,0,0,0,0,13,3,0,2,2,2,6,2,3,5,0,1,0
712393,ベルギー領コンゴ,38496,12363,False,0,,,,,,,,,,,,,,,,,,,
731353,バージニア植民地,211812,64076,False,0,68,6,0,0,0,1,0,5,1,0,0,2,2,42,4,1,4,0,0
742884,ポルトガル領ギニア,46489,13755,False,0,19,4,0,0,0,1,0,1,0,0,0,2,4,0,3,1,3,0,0
767905,六大都市,53644,14433,False,1,,,,,,,,,,,,,,,,,,,
769298,ローズ島共和国,66994,11461,False,1,,,,,,,,,,,,,,,,,,,
796110,ダマン・ディーウ連邦直轄領,39829,9391,False,0,10,4,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0
799816,ダードラー及びナガル・ハヴェーリー連邦直轄領,38227,9257,False,0,,,,,,,,,,,,,,,,,,,
811179,イスラム法廷会議,70835,18076,False,1,,,,,,,,,,,,,,,,,,,
819630,ベーメン・メーレン保護領,70310,18015,False,0,,,,,,,,,,,,,,,,,,,
827746,ドイツ植民地帝国,60607,11992,False,0,9,0,0,0,0,0,0,2,0,0,0,1,2,0,1,1,1,1,0
835979,バイロイト侯領,54632,19943,False,0,36,11,0,0,0,0,0,12,0,0,0,1,9,0,1,1,1,0,0
850310,モエシア,88271,18756,False,0,50,33,0,0,0,0,0,1,1,0,0,0,4,7,0,1,3,0,0
868760,ヌエバ・エスパーニャ,109476,25910,False,0,,,,,,,,,,,,,,,,,,,
876543,カフジ,27631,8273,False,0,,,,,,,,,,,,,,,,,,,
882654,シーランド公国,117265,29838,False,0,20,1,1,1,0,1,0,2,0,2,2,2,2,0,0,3,0,1,2
882663,台湾,357941,118272,False,4,,,,,,,,,,,,,,,,,,,
886157,自由都市ダンツィヒ,87717,22500,False,0,,,,,,,,,,,,,,,,,,,
894929,玄菟郡,208046,33432,False,0,,,,,,,,,,,,,,,,,,,
896359,西インド連邦,43361,10662,False,0,22,1,1,1,0,1,0,2,0,0,0,4,2,0,5,2,1,1,1
896820,メキシコ領テキサス,29876,9365,False,0,7,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0
900309,ブルゴーニュ領ネーデルラント,40704,11422,False,0,,,,,,,,,,,,,,,,,,,
900316,ネーデルラント17州,74937,17855,False,1,,,,,,,,,,,,,,,,,,,
910874,南ネーデルラント,57148,17689,False,0,27,1,0,0,0,0,0,16,0,0,0,2,0,0,3,2,2,1,0
912927,ヒスパニア・タラコネンシス,82736,14954,False,0,,,,,,,,,,,,,,,,,,,
913298,ミシシッピ・アフリカ,23495,6362,False,0,,,,,,,,,,,,,,,,,,,
919023,フランス領スーダン,52556,10444,False,0,,,,,,,,,,,,,,,,,,,
920385,アエギュプトゥス,125822,32975,False,1,47,3,0,0,0,1,0,4,0,0,0,2,1,16,3,0,17,0,0
926462,フランス領ルイジアナ,135751,56537,False,0,83,8,0,0,0,1,1,3,2,0,0,1,4,45,3,1,13,1,0
927846,リエージュ司教領,98807,36480,False,0,49,26,0,0,0,4,0,5,0,0,0,1,6,0,3,1,2,1,0
941894,連邦直轄部族地域,76524,16557,False,1,,,,,,,,,,,,,,,,,,,
989065,カーオ王国,37278,12816,False,0,,,,,,,,,,,,,,,,,,,
994440,台湾地区,61142,15107,False,0,20,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,8,1,0
1032773,アンスバッハ侯領,39420,12383,False,0,9,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,2,0,0
1054796,オルデンブルク (領邦),81720,23735,False,0,,,,,,,,,,,,,,,,,,,
1078495,アッパー・カナダ,103106,29183,False,0,38,9,2,2,0,1,3,2,1,0,0,4,4,3,2,1,4,0,0
1081083,チェチェン・イチケリア共和国,35630,9727,False,0,18,2,1,1,0,1,0,6,0,0,0,2,2,0,0,2,0,0,1
1082777,ローワー・カナダ,82656,18795,False,0,,,,,,,,,,,,,,,,,,,
1087163,アトス自治修道士共和国,79087,23898,False,0,25,5,2,1,1,1,0,3,0,0,0,3,2,0,0,3,3,1,0
1117666,ニューネーデルラント,102898,38810,False,0,,,,,,,,,,,,,,,,,,,
1125293,アルタ・カリフォルニア,25938,7044,False,0,,,,,,,,,,,,,,,,,,,
1125306,サンタフェ・デ・ヌエボ・メヒコ,26548,7747,False,0,,,,,,,,,,,,,,,,,,,
1125975,サントドミンゴの植民都市,40490,13536,False,1,,,,,,,,,,,,,,,,,,,
1126106,ニュースウェーデン,54617,18987,False,0,,,,,,,,,,,,,,,,,,,
1148185,スペイン領フロリダ,65507,17923,False,0,,,,,,,,,,,,,,,,,,,
1149422,カロライナ植民地,96213,24118,False,0,,,,,,,,,,,,,,,,,,,
1166577,サウスカロライナ植民地,106125,38247,False,0,,,,,,,,,,,,,,,,,,,
1169998,プリマス植民地,288658,129101,False,0,,,,,,,,,,,,,,,,,,,
1191846,マサチューセッツ湾植民地,131995,40607,False,0,65,2,1,0,0,1,0,4,0,0,0,2,5,46,1,1,1,1,0
1201326,シスプラチナ州,35559,9602,False,0,,,,,,,,,,,,,,,,,,,
1216596,グローバル・ステート・オブ・ウェーブランド,72730,13141,False,0,20,1,1,0,0,1,0,5,0,2,2,2,2,0,1,3,0,0,0
1217485,イタリア信託統治領ソマリア,31825,9030,False,0,18,1,0,0,0,1,0,2,0,0,0,3,3,1,2,1,3,1,0
1227275,アルト・ペルー,22126,6242,False,0,,,,,,,,,,,,,,,,,,,
1228690,ルイジアナ中立地,38601,15013,False,0,14,0,0,0,0,0,0,6,0,0,0,2,2,2,1,1,0,0,0
1236962,トリエステ自由地域,35649,10322,False,0,24,1,1,1,0,3,0,6,0,0,0,4,2,0,4,0,0,1,1
1241315,アクロティリおよびデケリア,84626,23427,False,0,,,,,,,,,,,,,,,,,,,
1242857,ザール (フランス保護領),44020,11466,False,0,17,1,0,0,0,1,0,4,0,0,0,3,1,0,3,2,2,0,0
1243150,ザール (国際連盟管理地域),29998,9017,False,0,23,1,2,2,0,1,1,7,0,0,0,3,1,0,4,1,0,0,0
1265740,カイロネイア,49209,13421,False,1,45,3,1,1,0,0,0,13,0,4,4,0,11,1,0,1,6,0,0
1266082,ロス海属領,30714,7279,False,0,,,,,,,,,,,,,,,,,,,
1267649,昭武九姓,40279,10583,False,0,15,0,0,0,0,0,0,1,1,0,0,1,2,5,1,1,1,2,0
1305427,双城総管府,42338,10529,False,0,,,,,,,,,,,,,,,,,,,
1306331,アラスカ地区,43052,16290,False,1,11,0,0,0,0,0,0,3,0,0,0,4,0,0,4,0,0,0,0
1310993,上海共同租界,39006,12895,False,0,,,,,,,,,,,,,,,,,,,
1311076,ニューヘイブン植民地,93385,24851,False,0,8,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,0,1,0
1313392,ポルトガル領インド,48120,14381,False,0,21,1,0,0,0,1,0,3,0,0,0,3,1,1,3,1,6,1,0
1360051,ドイツ領南西アフリカ,75894,19830,False,0,,,,,,,,,,,,,,,,,,,
1365745,オスマン帝国領ハンガリー,45685,17570,False,0,15,5,0,0,0,0,0,0,0,0,0,2,1,3,2,0,2,0,0
1377879,スペイン辺境領,65761,11418,False,6,,,,,,,,,,,,,,,,,,,
1387932,エマル,28859,10502,False,0,,,,,,,,,,,,,,,,,,,
1388530,テルカ,27675,10393,False,0,,,,,,,,,,,,,,,,,,,
1389527,アルパド,28719,9372,False,0,,,,,,,,,,,,,,,,,,,
1390707,マリ (シリア),53696,19177,False,0,22,0,0,0,0,0,1,3,0,0,0,5,5,5,2,1,0,0,0
1414971,ポルトガル領ティモール,47215,15592,False,0,26,2,0,0,0,3,0,3,0,0,0,5,4,0,6,1,1,1,0
1432128,ポーランド王領プロシア,35444,9084,False,1,,,,,,,,,,,,,,,,,,,
1432162,プロシア公領,38935,10464,False,1,,,,,,,,,,,,,,,,,,,
1441212,バーデン (領邦),83980,13958,False,0,,,,,,,,,,,,,,,,,,,
1453509,ドイツ領東アフリカ,96975,28594,False,0,31,2,1,1,0,1,0,4,0,0,0,2,1,1,2,1,12,1,2
1491213,東スラヴォニア・バラニャおよび西スレム・セルビア人自治州,39395,10192,False,0,29,4,1,0,0,1,0,8,0,0,0,2,1,7,3,1,0,1,0
1531861,シスカイ,47751,10259,False,0,17,1,1,1,0,1,0,3,1,0,0,2,3,0,2,1,0,0,1
1533659,ヴェンダ,46519,9196,False,0,17,1,1,1,0,1,0,3,0,0,0,3,2,0,2,2,0,0,1
1541041,オレンジ川植民地,80210,16459,False,0,,,,,,,,,,,,,,,,,,,
1552956,イギリス領東アフリカ,95854,22850,False,0,23,2,1,1,0,0,0,1,0,0,0,3,2,6,2,4,1,0,0
1569212,パキスタン (ドミニオン),36319,8910,False,0,,,,,,,,,,,,,,,,,,,
1574563,アラスカ県,38249,12269,False,1,17,1,0,0,0,0,0,1,0,2,2,4,0,0,3,0,3,1,0
