page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,代表,代表の地位職業,共通語,別名,加盟国・地域,加盟国・地域数,加盟組織,基盤の協定,後継組織,成立年,成立時の構成組織,所属組織,本拠地,本拠地国,活動内容,種類,解散年,設立目的,読み
2388,欧州共同体,89945,16877,False,0,,,,,,,,,,,,,,,,,,,,,
2395,国際連合,340391,113067,False,2,668,123,4,3,12,78,316,4,0,31,0,5,14,0,5,3,50,5,0,14,1
2472,World Wide Web Consortium,93500,18657,False,1,,,,,,,,,,,,,,,,,,,,,
2724,欧州サッカー連盟,402148,48193,False,1,,,,,,,,,,,,,,,,,,,,,
2735,国際標準化機構,233405,34767,False,0,,,,,,,,,,,,,,,,,,,,,
2849,メルコスール,72073,17866,False,0,,,,,,,,,,,,,,,,,,,,,
2855,北大西洋条約機構,169571,46359,False,1,,,,,,,,,,,,,,,,,,,,,
2874,G7,46038,11935,False,1,40,0,0,0,0,4,22,1,0,0,0,1,2,0,0,0,5,3,0,1,1
3008,国際電気通信連合,89485,21212,False,1,82,9,2,5,0,25,14,1,0,1,0,3,0,5,1,1,8,5,0,1,1
3796,クリエイティブ・コモンズ,113162,28313,False,1,,,,,,,,,,,,,,,,,,,,,
4781,中央条約機構,28418,7543,False,0,,,,,,,,,,,,,,,,,,,,,
5114,国際連合安全保障理事会,97105,24771,False,1,44,2,0,0,0,18,0,0,0,1,0,1,1,8,2,1,3,5,0,1,1
5296,国際連合監視検証査察委員会,29578,9333,False,0,31,8,2,1,0,5,0,0,0,0,0,1,7,1,0,0,3,1,0,1,1
5868,アラブ連盟,161591,44962,False,1,,,,,,,,,,,,,,,,,,,,,
5908,朝鮮半島エネルギー開発機構,46841,10230,False,0,38,1,0,0,0,3,17,0,0,6,0,1,0,0,0,0,4,2,2,1,1
6189,Internet Assigned Numbers Authority,22700,6508,False,0,,,,,,,,,,,,,,,,,,,,,
7066,世界保健機関,95776,24758,False,1,140,18,2,5,0,45,18,1,0,3,0,3,0,4,4,3,27,4,0,2,1
7099,国際民間航空機関,79822,16569,False,1,88,16,1,0,0,25,14,1,0,7,0,2,0,3,2,2,11,2,0,1,1
9839,国際連合大量破壊兵器廃棄特別委員会,29124,9719,False,0,,,,,,,,,,,,,,,,,,,,,
9904,Association for Computing Machinery,39388,12455,False,0,,,,,,,,,,,,,,,,,,,,,
10713,欧州中央銀行,135498,28615,False,1,,,,,,,,,,,,,,,,,,,,,
10926,国際連合教育科学文化機関,218080,50092,False,1,340,40,2,4,0,31,225,4,0,4,0,3,0,3,3,2,10,2,0,4,3
10930,国際労働機関,86014,21748,False,2,91,13,0,0,0,17,22,1,0,12,0,3,0,5,3,3,7,3,0,1,1
11278,国際通貨基金,138334,49311,False,1,213,13,2,5,0,62,81,1,0,3,0,2,0,5,4,12,13,3,0,6,1
11289,世界銀行,176838,43792,False,1,314,8,3,11,0,9,253,2,0,0,0,3,0,1,4,2,14,2,0,1,1
11295,国際復興開発銀行,21492,6412,False,0,,,,,,,,,,,,,,,,,,,,,
11470,国際連合開発計画,49201,10888,False,1,,,,,,,,,,,,,,,,,,,,,
11553,国際連合事務局,45382,9780,False,1,,,,,,,,,,,,,,,,,,,,,
12306,国際サッカー連盟,235001,38963,False,1,,,,,,,,,,,,,,,,,,,,,
15157,世界貿易機関,207789,71182,False,1,500,34,3,2,3,58,334,1,2,28,0,2,17,0,3,4,3,1,0,4,1
17132,連合国軍最高司令官総司令部,196817,59576,False,1,,,,,,,,,,,,,,,,,,,,,
17148,国際連盟,78527,23625,False,1,,,,,,,,,,,,,,,,,,,,,
17758,救世軍,261915,68328,False,2,,,,,,,,,,,,,,,,,,,,,
18204,アジアサッカー連盟,517712,68092,False,1,,,,,,,,,,,,,,,,,,,,,
20471,国際司法裁判所,119513,31383,False,1,,,,,,,,,,,,,,,,,,,,,
21147,枢軸国,106524,29826,False,0,,,,,,,,,,,,,,,,,,,,,
27615,国際捕鯨委員会,158329,85250,False,1,365,16,2,2,1,46,234,1,0,7,0,2,0,0,1,1,47,1,0,3,1
27945,国際純正・応用化学連合,79952,21620,False,1,,,,,,,,,,,,,,,,,,,,,
28743,ワルシャワ条約機構,109746,18842,False,1,,,,,,,,,,,,,,,,,,,,,
29485,G5,23085,6981,True,0,,,,,,,,,,,,,,,,,,,,,
30045,国際原子力機関,97193,24852,False,2,,,,,,,,,,,,,,,,,,,,,
30574,コミンテルン,139787,41197,False,1,,,,,,,,,,,,,,,,,,,,,
30576,第四インターナショナル,167009,47168,False,1,,,,,,,,,,,,,,,,,,,,,
30764,南米サッカー連盟,198823,21689,False,1,,,,,,,,,,,,,,,,,,,,,
31198,東南アジア諸国連合,178654,57212,False,1,,,,,,,,,,,,,,,,,,,,,
31974,国際連合児童基金,96204,24263,False,2,90,36,3,2,0,30,0,0,0,0,0,2,0,2,7,0,5,2,0,0,1
34189,国際刑事裁判所,169701,56251,False,1,,,,,,,,,,,,,,,,,,,,,
35622,国境なき医師団,77203,23640,False,2,,,,,,,,,,,,,,,,,,,,,
35626,地雷禁止国際キャンペーン,59826,13540,False,2,,,,,,,,,,,,,,,,,,,,,
35631,国際連合難民高等弁務官事務所,85491,16045,False,2,,,,,,,,,,,,,,,,,,,,,
35637,赤十字国際委員会,163717,33427,False,2,,,,,,,,,,,,,,,,,,,,,
37282,ASTMインターナショナル,24127,6601,False,0,,,,,,,,,,,,,,,,,,,,,
39250,アジア太平洋経済協力,103097,23976,False,0,131,0,0,0,0,7,83,1,0,2,0,2,3,0,0,1,26,3,0,2,1
45037,太平洋諸島フォーラム,65042,15064,False,0,,,,,,,,,,,,,,,,,,,,,
45038,南太平洋委員会,43797,10125,False,0,24,0,0,0,0,1,15,0,0,0,1,1,0,0,1,1,1,1,0,1,1
46411,旧ユーゴスラビア国際戦犯法廷,152619,26366,False,1,,,,,,,,,,,,,,,,,,,,,
46845,ルワンダ国際戦犯法廷,39306,9378,False,0,,,,,,,,,,,,,,,,,,,,,
47675,アフリカ連合,199107,51237,False,0,,,,,,,,,,,,,,,,,,,,,
49034,日英同盟,150138,37273,False,1,,,,,,,,,,,,,,,,,,,,,
49054,4Hクラブ,25788,7518,False,0,,,,,,,,,,,,,,,,,,,,,
49353,日独伊三国同盟,229834,63580,False,1,,,,,,,,,,,,,,,,,,,,,
50570,赤十字社,181005,52204,False,1,,,,,,,,,,,,,,,,,,,,,
52500,国際食品規格委員会,23424,7007,False,0,,,,,,,,,,,,,,,,,,,,,
55595,地球連合 (ガンダムシリーズ),94960,25134,False,0,,,,,,,,,,,,,,,,,,,,,
56935,国際陸上競技連盟,150647,28036,False,1,,,,,,,,,,,,,,,,,,,,,
56945,国際水路機関,47124,13719,False,1,153,1,1,1,1,17,105,0,0,1,0,2,7,0,0,3,7,2,0,4,1
59710,フランコフォニー国際機関,119764,23615,False,0,,,,,,,,,,,,,,,,,,,,,
60588,世界自然保護基金,255241,81107,False,1,,,,,,,,,,,,,,,,,,,,,
62388,アフリカサッカー連盟,267315,25270,False,1,,,,,,,,,,,,,,,,,,,,,
65327,連合国 (第二次世界大戦),144894,49056,False,0,,,,,,,,,,,,,,,,,,,,,
67477,国際数学連合,24140,6813,False,0,,,,,,,,,,,,,,,,,,,,,
67846,ワンワールド,150828,37464,False,1,,,,,,,,,,,,,,,,,,,,,
74820,スターアライアンス,185888,46022,False,1,,,,,,,,,,,,,,,,,,,,,
79781,国際刑事警察機構,133665,26692,False,1,282,22,1,1,0,20,207,3,0,0,0,2,4,1,4,4,6,4,0,2,1
81009,独立国家共同体,108722,24691,False,0,114,2,1,2,1,25,63,2,0,4,0,2,0,0,2,1,6,2,0,0,1
82257,北中米カリブ海サッカー連盟,250747,26975,False,1,,,,,,,,,,,,,,,,,,,,,
82258,オセアニアサッカー連盟,209119,26024,False,1,,,,,,,,,,,,,,,,,,,,,
86599,連合国暫定当局,36915,11339,False,0,,,,,,,,,,,,,,,,,,,,,
88089,スペシャルオリンピックス,88083,25604,False,0,,,,,,,,,,,,,,,,,,,,,
88748,東南アジア条約機構,29883,8637,False,0,,,,,,,,,,,,,,,,,,,,,
88791,石油輸出国機構,117322,44463,False,1,222,3,1,1,1,61,104,4,0,0,0,3,0,0,5,4,25,3,0,3,4
105362,イスラム協力機構,120393,24842,False,0,163,17,1,4,3,15,90,1,0,0,0,1,0,0,1,2,21,3,0,3,1
105554,有志連合,67389,15287,False,0,,,,,,,,,,,,,,,,,,,,,
108689,三国同盟 (1882年),35301,12123,False,0,,,,,,,,,,,,,,,,,,,,,
109666,西アフリカ諸国経済共同体,75484,16251,False,0,77,8,1,2,0,5,43,1,0,2,0,1,0,0,1,5,4,1,0,2,1
116391,経済協力開発機構,114364,26267,False,1,155,11,2,3,6,18,91,2,0,1,0,5,3,0,3,2,1,1,0,5,1
117354,国際自然保護連合,33621,10212,False,0,,,,,,,,,,,,,,,,,,,,,
123300,カルマル同盟,126324,18561,False,0,,,,,,,,,,,,,,,,,,,,,
125804,国際オリンピック委員会,158733,33033,False,1,,,,,,,,,,,,,,,,,,,,,
126058,ジェマ・イスラミア,78363,17842,False,1,,,,,,,,,,,,,,,,,,,,,
127796,世界気象機関,115258,26643,False,1,,,,,,,,,,,,,,,,,,,,,
129999,ポルトガル語諸国共同体,44379,10171,False,0,35,4,0,0,5,4,9,1,0,0,0,2,0,0,2,1,4,1,0,1,1
132152,三国協商,38304,11991,False,0,,,,,,,,,,,,,,,,,,,,,
133375,国際記念物遺跡会議,27209,7673,False,0,,,,,,,,,,,,,,,,,,,,,
134003,アウクスブルク同盟,27181,7009,False,0,,,,,,,,,,,,,,,,,,,,,
136267,国際野球連盟,145822,27975,False,1,,,,,,,,,,,,,,,,,,,,,
137278,北アメリカ航空宇宙防衛司令部,51380,15199,False,0,,,,,,,,,,,,,,,,,,,,,
138188,ICANN,29867,8927,False,1,,,,,,,,,,,,,,,,,,,,,
155641,スポーツアコード (スポーツ組織),100402,20052,False,0,,,,,,,,,,,,,,,,,,,,,
159580,国際フィルム・アーカイヴ連盟,24956,6965,False,0,,,,,,,,,,,,,,,,,,,,,
163672,ナンセン国際難民事務所,35542,8401,False,1,,,,,,,,,,,,,,,,,,,,,
165287,国際赤十字赤新月社連盟,123222,20284,False,2,,,,,,,,,,,,,,,,,,,,,
168812,欧州評議会,170038,51508,False,0,331,82,2,3,5,4,174,4,0,18,0,3,0,0,3,2,20,2,0,8,1
168855,欧州人権裁判所,33132,10468,False,0,34,2,1,1,1,1,13,0,0,0,0,1,0,1,2,2,5,2,0,1,1
172857,気候変動に関する政府間パネル,76921,19606,False,1,,,,,,,,,,,,,,,,,,,,,
177112,南米諸国連合,75107,16502,False,0,,,,,,,,,,,,,,,,,,,,,
188060,国際連合人道問題調整事務所,40782,9346,False,0,26,2,0,0,0,6,2,0,0,1,0,1,4,2,4,0,1,1,0,1,1
199964,ハンザ同盟,108598,45592,False,0,,,,,,,,,,,,,,,,,,,,,
203591,アフリカ統一機構,62077,13324,False,0,,,,,,,,,,,,,,,,,,,,,
205986,アラブ石油輸出国機構,29056,7651,False,0,,,,,,,,,,,,,,,,,,,,,
213700,国際連合環境計画,83765,14772,False,1,,,,,,,,,,,,,,,,,,,,,
223708,コミンフォルム,102826,16294,False,1,,,,,,,,,,,,,,,,,,,,,
226043,世界知的所有権機関,66808,16561,False,1,82,15,2,3,0,19,0,1,0,13,0,3,5,3,3,3,6,3,0,2,1
230199,社会主義インターナショナル,198011,31630,False,1,,,,,,,,,,,,,,,,,,,,,
238024,ライン同盟,75720,14917,False,7,,,,,,,,,,,,,,,,,,,,,
247524,国際連合貿易開発会議,58638,11378,False,1,,,,,,,,,,,,,,,,,,,,,
249986,非同盟運動,41154,11961,False,0,33,1,0,0,0,3,23,1,0,0,0,2,0,0,0,0,0,1,0,1,1
252123,リットン調査団,59989,24444,False,0,22,0,1,3,0,2,0,0,0,0,0,1,0,2,0,0,9,1,2,0,1
253757,国際連合信託統治理事会,50496,12898,False,1,29,0,0,0,0,12,0,0,0,1,0,1,0,2,2,1,5,3,0,1,1
257096,三帝同盟,31550,8951,False,0,,,,,,,,,,,,,,,,,,,,,
260314,経済相互援助会議,45033,10423,False,1,48,0,0,0,0,11,23,1,0,0,0,2,0,0,1,1,2,3,1,2,1
264481,国際SIL,63996,12643,False,0,,,,,,,,,,,,,,,,,,,,,
269711,欧州議会,283279,87523,False,1,197,11,4,4,31,31,1,0,0,18,0,1,0,48,27,0,10,9,0,1,1
272971,国際自動車連盟,56630,20877,False,1,,,,,,,,,,,,,,,,,,,,,
275525,博覧会国際事務局,43766,17913,False,1,,,,,,,,,,,,,,,,,,,,,
275592,国際連合食糧農業機関,62849,14128,False,1,,,,,,,,,,,,,,,,,,,,,
284390,バルカン同盟,25785,6908,False,0,,,,,,,,,,,,,,,,,,,,,
284560,上海協力機構,233048,46514,False,0,182,18,1,1,2,28,73,1,0,6,0,2,3,0,1,1,37,5,0,2,1
285430,FISM,59741,19602,False,0,,,,,,,,,,,,,,,,,,,,,
286399,科学技術データ委員会,65310,14319,False,1,,,,,,,,,,,,,,,,,,,,,
289157,スカイチーム,137440,27165,False,1,,,,,,,,,,,,,,,,,,,,,
289770,世界空手連盟,38800,11143,False,1,,,,,,,,,,,,,,,,,,,,,
297116,アジア欧州会合,64290,13696,False,0,,,,,,,,,,,,,,,,,,,,,
301359,4ヵ国連合,56320,27075,False,0,,,,,,,,,,,,,,,,,,,,,
309101,国際治安支援部隊,134436,37196,False,0,,,,,,,,,,,,,,,,,,,,,
310867,世界スカウト機構,100339,18561,False,2,,,,,,,,,,,,,,,,,,,,,
313219,ドイツ関税同盟,26072,8297,False,0,,,,,,,,,,,,,,,,,,,,,
317677,万国郵便連合,55664,13197,False,1,,,,,,,,,,,,,,,,,,,,,
318410,欧州理事会,177949,33044,False,0,,,,,,,,,,,,,,,,,,,,,
328443,露仏同盟,40570,13968,False,0,,,,,,,,,,,,,,,,,,,,,
328730,神聖同盟,25036,7458,False,0,,,,,,,,,,,,,,,,,,,,,
330419,国際モーターサイクリズム連盟,44229,12191,False,0,,,,,,,,,,,,,,,,,,,,,
330808,国際決済銀行,73668,33096,False,0,167,51,1,5,0,36,38,0,1,9,0,3,0,0,1,2,10,6,0,3,1
334852,米州機構,108121,23600,False,1,,,,,,,,,,,,,,,,,,,,,
345199,国際連合経済社会理事会,89593,21647,False,1,125,11,1,1,15,16,54,2,0,1,0,1,0,10,4,1,5,2,0,0,1
345818,世界経済フォーラム,119190,46533,False,1,,,,,,,,,,,,,,,,,,,,,
346072,赤色労働組合インターナショナル,36028,12231,False,0,,,,,,,,,,,,,,,,,,,,,
349072,OASIS (組織),35340,10052,False,0,,,,,,,,,,,,,,,,,,,,,
351978,第一インターナショナル,357059,97264,False,1,,,,,,,,,,,,,,,,,,,,,
352168,中央同盟国,38423,9885,False,0,,,,,,,,,,,,,,,,,,,,,
353297,連邦最高裁判所,25693,7346,True,0,,,,,,,,,,,,,,,,,,,,,
353864,第二半インターナショナル,40283,10743,False,0,,,,,,,,,,,,,,,,,,,,,
355060,世界カイロプラクティック連合,94129,23197,False,1,,,,,,,,,,,,,,,,,,,,,
355694,コロンボ・プラン,25588,7198,False,0,36,0,0,0,0,1,28,0,0,0,0,1,0,0,2,1,0,1,0,2,0
363762,国際アイスホッケー連盟,91038,14797,False,1,,,,,,,,,,,,,,,,,,,,,
365985,国際ロータリー,38353,14814,False,1,,,,,,,,,,,,,,,,,,,,,
372325,欧州委員会,177296,54035,False,0,217,53,3,16,7,26,0,0,0,18,0,1,11,21,8,3,35,13,0,1,1
372491,第二インターナショナル,82364,17073,False,1,,,,,,,,,,,,,,,,,,,,,
372581,インターナショナル (社会主義),30442,8491,False,0,,,,,,,,,,,,,,,,,,,,,
372588,欧州安全保障協力機構,105580,18834,False,0,90,0,0,0,0,6,73,2,0,1,0,1,1,0,1,0,0,2,0,2,1
372623,欧州自由貿易連合,53951,13089,False,0,,,,,,,,,,,,,,,,,,,,,
372850,南アジア地域協力連合,77137,20632,False,0,109,20,0,0,0,8,41,0,0,4,0,3,0,0,5,2,17,1,0,7,1
373409,国境なき記者団,98982,25846,False,1,,,,,,,,,,,,,,,,,,,,,
376517,国際スキー連盟,59885,12221,False,1,,,,,,,,,,,,,,,,,,,,,
384871,対共産圏輸出統制委員会,33451,8578,False,0,37,0,0,0,0,5,19,1,0,1,0,2,0,0,1,1,2,1,1,2,1
385892,武装中立同盟,31478,9341,False,0,,,,,,,,,,,,,,,,,,,,,
393369,南アジアサッカー連盟,259857,19866,False,1,,,,,,,,,,,,,,,,,,,,,
393452,ASEAN+3,53879,13294,False,0,,,,,,,,,,,,,,,,,,,,,
393519,クリーン開発と気候に関するアジア太平洋パートナーシップ,47910,10996,False,0,,,,,,,,,,,,,,,,,,,,,
395451,G-14,47466,13399,False,0,,,,,,,,,,,,,,,,,,,,,
396599,スポーツ仲裁裁判所,28278,8158,False,0,18,0,1,1,0,4,0,0,0,0,0,1,0,5,1,1,1,1,0,1,1
397957,世界アンチ・ドーピング機関,35224,11287,False,0,,,,,,,,,,,,,,,,,,,,,
398203,欧州連合理事会,128592,38507,False,1,174,10,3,3,28,84,3,1,0,12,0,1,1,20,3,1,0,2,0,1,1
399064,欧州石炭鉄鋼共同体,101568,36768,False,1,227,41,0,0,22,28,54,0,0,16,8,4,2,0,7,0,29,3,6,6,1
399505,アラブ・マグレブ連合,47627,10648,False,0,,,,,,,,,,,,,,,,,,,,,
400666,国際ペンクラブ,41756,9842,False,1,,,,,,,,,,,,,,,,,,,,,
400821,欧州原子力共同体,88094,17646,False,1,59,3,1,4,0,12,4,0,0,10,0,3,0,13,2,0,2,1,0,3,1
403076,国際バレーボール連盟,308182,32497,False,1,,,,,,,,,,,,,,,,,,,,,
406160,国際現代音楽協会,100781,25405,False,0,,,,,,,,,,,,,,,,,,,,,
407681,国際スケート連盟,56723,11685,False,1,,,,,,,,,,,,,,,,,,,,,
419174,国際パラリンピック委員会,49277,10174,False,1,,,,,,,,,,,,,,,,,,,,,
421470,欧州司法裁判所,88457,25462,False,0,146,15,1,4,26,33,8,0,0,16,0,3,1,18,1,1,16,1,0,1,1
422620,国際度量衡局,44273,11418,False,1,,,,,,,,,,,,,,,,,,,,,
422642,国際度量衡委員会,47983,13622,False,0,,,,,,,,,,,,,,,,,,,,,
422720,トゥルー・ラブ・ウェイツ,22395,6243,False,0,,,,,,,,,,,,,,,,,,,,,
429689,国際建築家連合,21793,6135,False,0,,,,,,,,,,,,,,,,,,,,,
430794,連合国戦争犯罪委員会,22802,6377,False,0,,,,,,,,,,,,,,,,,,,,,
431681,世界産業労働組合,38857,11191,False,1,,,,,,,,,,,,,,,,,,,,,
436179,アブ・サヤフ,95070,23583,False,1,,,,,,,,,,,,,,,,,,,,,
436483,ヒューマン・ライツ・ウォッチ,67573,17553,False,1,,,,,,,,,,,,,,,,,,,,,
439107,ARIN,36393,8705,False,1,51,0,0,0,0,3,28,0,0,0,2,2,1,0,2,2,6,4,0,1,0
440929,世界の医療団,47579,17515,False,1,,,,,,,,,,,,,,,,,,,,,
442760,太平洋共同体,52874,11604,False,0,37,0,0,0,0,3,27,0,0,0,0,1,2,0,1,1,0,1,0,0,1
442785,東南アジア諸国連合地域フォーラム,59747,13019,False,0,66,7,0,0,0,5,40,1,1,0,0,3,0,3,0,0,1,2,0,2,1
442795,Metropolis,25335,6962,False,0,,,,,,,,,,,,,,,,,,,,,
448164,ハイルブロン同盟,30745,9672,False,0,,,,,,,,,,,,,,,,,,,,,
456603,ユダヤ防衛同盟,38434,10383,False,0,16,0,1,2,0,4,0,0,0,0,0,1,0,0,0,0,5,2,0,1,0
458326,世界カーリング連盟,52916,11196,False,1,,,,,,,,,,,,,,,,,,,,,
458877,南京安全区国際委員会,54985,18224,False,0,,,,,,,,,,,,,,,,,,,,,
459237,AQIM,81549,18251,False,0,,,,,,,,,,,,,,,,,,,,,
461838,国際電気標準会議,110911,29764,False,0,,,,,,,,,,,,,,,,,,,,,
462238,アジア開発銀行,81537,19734,False,1,189,15,2,4,1,9,99,2,3,1,0,4,0,2,3,3,35,3,0,2,1
470713,北海帝国,41828,9972,False,0,,,,,,,,,,,,,,,,,,,,,
470864,第一次対仏大同盟,32309,9613,False,0,,,,,,,,,,,,,,,,,,,,,
470866,第二次対仏大同盟,68321,14713,False,0,,,,,,,,,,,,,,,,,,,,,
470868,第三次対仏大同盟,64619,15359,False,0,,,,,,,,,,,,,,,,,,,,,
470871,第四次対仏大同盟,68855,15752,False,0,,,,,,,,,,,,,,,,,,,,,
470874,第五次対仏大同盟,67397,15728,False,0,,,,,,,,,,,,,,,,,,,,,
470877,第六次対仏大同盟,77834,19060,False,0,,,,,,,,,,,,,,,,,,,,,
470881,第七次対仏大同盟,58634,13206,False,0,,,,,,,,,,,,,,,,,,,,,
474136,国際バスケットボール連盟,92861,14276,False,1,,,,,,,,,,,,,,,,,,,,,
475675,アジア太平洋経済社会委員会,35233,8726,False,0,87,0,1,1,0,10,66,1,0,0,0,0,0,2,1,0,3,1,0,1,0
475696,アフリカ開発銀行,28616,7687,False,0,,,,,,,,,,,,,,,,,,,,,
475709,アフリカ経済委員会,21404,5847,False,0,24,5,0,0,0,4,6,0,0,0,0,1,0,3,1,1,1,1,0,0,1
475718,南部アフリカ開発共同体,53874,11345,False,0,33,0,0,0,0,4,14,1,0,0,0,2,3,0,1,1,3,1,0,2,1
475732,西欧同盟,70790,21794,False,1,,,,,,,,,,,,,,,,,,,,,
475753,米州開発銀行,42268,10090,False,0,,,,,,,,,,,,,,,,,,,,,
475761,ラテンアメリカ経済機構,41735,9619,False,0,39,0,0,0,0,3,29,1,0,0,0,1,0,0,1,1,0,1,0,1,1
478042,国際民主同盟,95645,16983,False,1,,,,,,,,,,,,,,,,,,,,,
479724,国際テニス連盟,69998,14440,False,1,,,,,,,,,,,,,,,,,,,,,
481389,国際連合人権理事会,76213,21446,False,1,,,,,,,,,,,,,,,,,,,,,
481412,国際連合人権委員会,79811,25376,False,1,60,8,0,0,0,21,0,0,0,1,7,2,0,7,0,0,7,3,2,1,1
482067,国際連合欧州経済委員会,30987,8301,False,1,40,0,0,0,0,11,15,1,0,0,0,2,0,4,2,0,2,1,0,1,1
482078,国際海事機関,64511,17957,False,1,122,34,4,2,0,15,42,1,0,1,0,3,2,2,5,1,4,2,0,3,1
482083,国際連合人口基金,41747,9168,False,1,,,,,,,,,,,,,,,,,,,,,
482094,国際連合世界食糧計画,47112,10819,False,1,31,1,0,0,0,12,3,0,0,1,0,2,0,3,2,0,3,2,0,1,1
482149,国際連合人権高等弁務官事務所,56476,13757,False,1,,,,,,,,,,,,,,,,,,,,,
483367,国際海洋法裁判所,32473,9034,False,1,,,,,,,,,,,,,,,,,,,,,
485065,湾岸協力会議,62595,14461,False,0,,,,,,,,,,,,,,,,,,,,,
489669,シオン修道会,40064,14732,False,1,,,,,,,,,,,,,,,,,,,,,
490341,国際危機グループ,37264,10384,False,0,,,,,,,,,,,,,,,,,,,,,
491436,国際卓球連盟,76681,15110,False,1,,,,,,,,,,,,,,,,,,,,,
493576,国際水泳連盟,59827,13018,False,1,,,,,,,,,,,,,,,,,,,,,
497113,極東委員会,45390,11299,False,1,,,,,,,,,,,,,,,,,,,,,
