page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,下部組織,主義・主張,交付金データの年,人数,人数データの年,代表者,代表者の地位職業,別名,国,国際組織,後継組織,成立年,成立時の構成組織,所在地,支持団体,政党交付金,政策,機関紙,歴代の元首・首班,派閥・グループ,理念・スローガン,解散年,読み
4606,バアス党,125642,37232,False,1,,,,,,,,,,,,,,,,,,,,,,,,
6745,自由党 (日本 1998-2003),117766,25160,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12827,民主党 (日本 1947-1950),144938,26436,False,1,,,,,,,,,,,,,,,,,,,,,,,,
12864,日本社会党,252549,80520,False,1,,,,,,,,,,,,,,,,,,,,,,,,
13155,社会民主党 (日本 1996-),393284,104266,False,1,,,,,,,,,,,,,,,,,,,,,,,,
14985,日本共産党,725062,271401,False,1,,,,,,,,,,,,,,,,,,,,,,,,
15012,公明党,383105,118989,False,1,,,,,,,,,,,,,,,,,,,,,,,,
16326,太陽党,70835,14969,False,1,,,,,,,,,,,,,,,,,,,,,,,,
16804,社会民主連合,77252,19064,False,1,94,0,14,0,0,0,5,2,9,2,0,14,3,33,0,0,0,2,0,0,0,5,4,1
16851,民社党,117750,36190,False,1,,,,,,,,,,,,,,,,,,,,,,,,
19025,新進党,96496,26647,False,1,,,,,,,,,,,,,,,,,,,,,,,,
21228,新党さきがけ,74520,22302,False,1,,,,,,,,,,,,,,,,,,,,,,,,
21703,保守新党,189049,30391,False,1,,,,,,,,,,,,,,,,,,,,,,,,
25600,無所属の会,77840,33771,False,0,,,,,,,,,,,,,,,,,,,,,,,,
26453,イラク国民会議,46918,9359,False,1,,,,,,,,,,,,,,,,,,,,,,,,
29055,ドイツキリスト教民主同盟,138279,37535,False,1,,,,,,,,,,,,,,,,,,,,,,,,
29058,ドイツ社会民主党,211097,65611,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30583,アメリカ共産党,82605,20189,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30585,アメリカ社会党,61507,13155,False,1,,,,,,,,,,,,,,,,,,,,,,,,
30588,アメリカ緑の党,71819,15430,False,1,38,0,7,0,1,1,7,4,5,8,1,0,1,0,1,0,0,0,0,0,0,1,0,1
30589,リバタリアン党 (アメリカ),83221,23351,False,1,50,0,9,0,1,1,1,1,5,4,1,0,2,0,1,0,0,20,0,0,0,3,0,1
30591,自然法党 (アメリカ),43361,9358,False,0,,,,,,,,,,,,,,,,,,,,,,,,
31443,中国国民党,110373,29425,False,1,,,,,,,,,,,,,,,,,,,,,,,,
31450,台湾国民党,36759,8453,False,1,25,0,3,0,1,1,3,2,1,8,0,0,3,0,2,0,0,0,0,0,0,0,0,1
31711,新自由クラブ,198864,44445,False,1,,,,,,,,,,,,,,,,,,,,,,,,
31814,フォルツァ・イタリア,47694,11395,False,1,,,,,,,,,,,,,,,,,,,,,,,,
33117,民主党 (アメリカ),191159,47514,False,1,110,0,17,0,1,1,1,1,2,4,1,0,1,1,2,26,0,23,0,25,2,1,0,1
33135,共和党 (アメリカ),210919,58892,False,1,105,0,19,0,1,1,1,1,4,3,2,0,2,0,1,23,0,18,0,27,1,0,0,1
33804,イタリアの同胞,92510,24490,False,1,,,,,,,,,,,,,,,,,,,,,,,,
33834,王党派,58924,15343,False,0,,,,,,,,,,,,,,,,,,,,,,,,
33835,ジャコバン派,218227,45022,False,0,,,,,,,,,,,,,,,,,,,,,,,,
35792,日本民主党,139340,25616,False,1,51,0,13,0,0,0,3,4,1,2,0,5,2,15,0,0,0,0,0,2,0,1,2,1
45054,民主進歩党,112754,32073,False,1,,,,,,,,,,,,,,,,,,,,,,,,
45322,新社会党,107174,27515,False,1,,,,,,,,,,,,,,,,,,,,,,,,
45954,赤道ギニア民主党,28635,7617,False,0,,,,,,,,,,,,,,,,,,,,,,,,
45981,トルクメニスタン民主党,33382,8829,False,1,,,,,,,,,,,,,,,,,,,,,,,,
46328,朝鮮労働党,153081,45442,False,2,,,,,,,,,,,,,,,,,,,,,,,,
46474,北部同盟 (イタリア),182396,56882,False,1,,,,,,,,,,,,,,,,,,,,,,,,
46506,国民民主連盟,51517,12991,False,1,,,,,,,,,,,,,,,,,,,,,,,,
46636,ケニア・アフリカ民族同盟,28368,6844,False,0,,,,,,,,,,,,,,,,,,,,,,,,
49563,中国共産党,207728,56603,False,1,,,,,,,,,,,,,,,,,,,,,,,,
49614,自由韓国党,334442,85665,False,2,,,,,,,,,,,,,,,,,,,,,,,,
49615,民主党 (韓国),37207,10181,False,1,,,,,,,,,,,,,,,,,,,,,,,,
50627,ウリ党,80725,19643,False,2,,,,,,,,,,,,,,,,,,,,,,,,
52187,ドイツ社会主義統一党,227905,60818,False,1,,,,,,,,,,,,,,,,,,,,,,,,
53820,みどりの会議,37797,10960,False,1,,,,,,,,,,,,,,,,,,,,,,,,
54385,沖縄社会大衆党,132856,32235,False,1,,,,,,,,,,,,,,,,,,,,,,,,
55112,大政翼賛会,78036,22223,False,1,,,,,,,,,,,,,,,,,,,,,,,,
58281,東ティモール独立革命戦線,45366,11398,False,1,,,,,,,,,,,,,,,,,,,,,,,,
58893,朝鮮社会民主党,50985,12581,False,2,,,,,,,,,,,,,,,,,,,,,,,,
58940,天道教青友党,46462,11560,False,2,,,,,,,,,,,,,,,,,,,,,,,,
63941,自由民主連合,66904,13730,False,2,,,,,,,,,,,,,,,,,,,,,,,,
64494,真理党,89771,20036,False,1,54,0,0,0,1,1,25,4,1,3,0,0,2,3,1,2,1,9,0,0,0,0,0,1
65161,スペイン社会労働党,136969,23259,False,1,,,,,,,,,,,,,,,,,,,,,,,,
66194,リクード,56668,15813,False,1,40,0,11,0,0,0,3,5,4,3,0,0,2,3,0,0,0,0,0,8,1,0,0,0
66195,労働党 (イスラエル),61391,13217,False,1,,,,,,,,,,,,,,,,,,,,,,,,
66200,シヌイ,24050,6697,False,0,,,,,,,,,,,,,,,,,,,,,,,,
66936,闘争民主党,47743,14887,False,1,,,,,,,,,,,,,,,,,,,,,,,,
67236,大同倶楽部,36603,9462,False,0,,,,,,,,,,,,,,,,,,,,,,,,
67569,民進党,483948,123184,False,1,,,,,,,,,,,,,,,,,,,,,,,,
68022,ハマース,148929,42980,False,2,,,,,,,,,,,,,,,,,,,,,,,,
68445,新生党,83223,21542,False,1,,,,,,,,,,,,,,,,,,,,,,,,
68778,日本新党,76718,24195,False,1,,,,,,,,,,,,,,,,,,,,,,,,
68979,台湾団結連盟,45251,10707,False,2,,,,,,,,,,,,,,,,,,,,,,,,
77068,人民行動党,58943,12535,False,1,,,,,,,,,,,,,,,,,,,,,,,,
77071,モンゴル人民党,38154,9150,False,1,35,0,8,0,0,0,1,1,9,3,3,0,2,3,1,1,0,1,0,1,0,0,0,1
80430,シャス,51593,13060,False,1,,,,,,,,,,,,,,,,,,,,,,,,
80432,メレツ,36186,9319,False,1,,,,,,,,,,,,,,,,,,,,,,,,
81364,インド人民党,59745,14737,False,1,48,0,10,0,0,0,1,2,10,2,2,0,1,2,0,9,0,1,0,5,0,2,0,1
81373,インド共産党,44793,10955,False,1,23,0,6,0,0,0,0,0,6,3,0,0,3,0,1,3,0,1,0,0,0,0,0,0
81374,インド共産党マルクス主義派,45492,11238,False,1,,,,,,,,,,,,,,,,,,,,,,,,
81375,シヴ・セーナー,62450,12386,False,0,,,,,,,,,,,,,,,,,,,,,,,,
81379,カンボジア人民党,41184,11291,False,1,46,0,5,0,0,0,9,4,13,3,0,0,2,1,0,0,0,0,0,8,0,0,0,1
81380,フンシンペック,39697,9443,False,1,,,,,,,,,,,,,,,,,,,,,,,,
81384,タイ愛国党,38668,9932,False,1,,,,,,,,,,,,,,,,,,,,,,,,
81411,国民民主党 (エジプト),68842,12472,False,1,,,,,,,,,,,,,,,,,,,,,,,,
81715,国民会議 (スーダン),28903,7705,False,0,,,,,,,,,,,,,,,,,,,,,,,,
82640,民主正義人民戦線,35329,8745,False,0,,,,,,,,,,,,,,,,,,,,,,,,
83579,民主党 (東ティモール),38405,8837,False,1,,,,,,,,,,,,,,,,,,,,,,,,
83914,国民同盟党 (パプアニューギニア),37003,7995,False,1,,,,,,,,,,,,,,,,,,,,,,,,
83926,社会民主主義パン・アフリカン連合,31642,7771,False,0,,,,,,,,,,,,,,,,,,,,,,,,
83927,コンゴ労働党,36401,7990,False,1,,,,,,,,,,,,,,,,,,,,,,,,
84005,ラオス人民革命党,59198,15103,False,1,,,,,,,,,,,,,,,,,,,,,,,,
84671,国家開発党 (タイ),31219,7576,False,0,,,,,,,,,,,,,,,,,,,,,,,,
84677,民主党 (タイ),58470,14411,False,1,48,3,12,0,0,0,3,3,3,4,2,0,3,0,0,6,0,3,0,5,0,0,0,1
86465,バングラデシュ民族主義党,36329,8590,False,1,,,,,,,,,,,,,,,,,,,,,,,,
86468,アワミ連盟,39550,10064,False,1,,,,,,,,,,,,,,,,,,,,,,,,
86490,新アゼルバイジャン党,35298,7693,False,1,,,,,,,,,,,,,,,,,,,,,,,,
86491,アゼルバイジャン人民戦線,34667,7876,False,1,,,,,,,,,,,,,,,,,,,,,,,,
88596,ホイッグ党 (リベリア),35559,9750,False,0,,,,,,,,,,,,,,,,,,,,,,,,
88597,ホイッグ党 (アメリカ),38565,11590,False,1,30,0,1,0,0,0,0,1,2,2,0,4,1,0,0,0,0,4,0,9,0,3,2,1
89408,民政党,73827,14644,False,1,,,,,,,,,,,,,,,,,,,,,,,,
89715,火曜会,24318,7149,False,0,,,,,,,,,,,,,,,,,,,,,,,,
91652,立憲政友会,138334,39035,False,1,,,,,,,,,,,,,,,,,,,,,,,,
91998,憲政党,44023,13670,False,1,,,,,,,,,,,,,,,,,,,,,,,,
92234,日本共産党（左派）,74717,17427,False,1,,,,,,,,,,,,,,,,,,,,,,,,
92246,立憲改進党,45809,11394,False,1,40,0,7,0,0,0,1,3,2,1,0,2,3,2,0,3,0,4,1,0,3,4,3,1
92257,立憲同志会,39867,9814,False,1,,,,,,,,,,,,,,,,,,,,,,,,
92435,社会大衆党,48042,11375,False,1,,,,,,,,,,,,,,,,,,,,,,,,
92471,イラク・イスラム革命最高評議会,45594,9971,False,0,,,,,,,,,,,,,,,,,,,,,,,,
92505,民主自由党 (韓国),72337,16519,False,2,82,0,4,0,0,0,11,1,14,3,0,0,3,17,0,0,0,0,0,20,0,6,0,3
92510,国民民主党 (日本),136852,25013,False,1,,,,,,,,,,,,,,,,,,,,,,,,
92513,改進党,148810,31086,False,1,,,,,,,,,,,,,,,,,,,,,,,,
92523,緑風会,50704,19488,False,0,,,,,,,,,,,,,,,,,,,,,,,,
93143,朝鮮新民党,28252,7996,False,1,,,,,,,,,,,,,,,,,,,,,,,,
93149,朝鮮共産党,102659,34393,False,2,,,,,,,,,,,,,,,,,,,,,,,,
93151,北朝鮮労働党,38283,9453,False,2,,,,,,,,,,,,,,,,,,,,,,,,
93153,南朝鮮労働党,39408,9707,False,2,,,,,,,,,,,,,,,,,,,,,,,,
93314,アンゴラ解放人民運動,65944,17247,False,1,87,0,4,0,0,0,4,3,28,21,2,0,2,0,3,1,0,7,0,11,0,0,0,1
94585,右派連合 (ロシア),26534,8021,False,0,,,,,,,,,,,,,,,,,,,,,,,,
94813,タジキスタン人民民主党,28791,7068,False,1,,,,,,,,,,,,,,,,,,,,,,,,
94829,日本共産党（マルクス・レーニン主義）,32494,7512,False,0,16,0,3,0,0,0,1,1,2,1,0,0,2,3,0,0,0,0,1,0,0,0,2,0
94841,革命的労働者協会（解放派）,102062,29530,False,1,158,5,12,0,0,0,1,3,61,2,0,0,4,47,9,0,0,2,3,0,0,8,0,1
94851,革命的労働者協会（社会党社青同解放派）,144382,47315,False,0,234,5,16,0,0,0,1,3,97,3,0,65,1,8,8,0,0,0,4,1,14,7,0,1
94870,労働者共産党,55050,11539,False,1,,,,,,,,,,,,,,,,,,,,,,,,
94883,ヤブロコ,38517,10023,False,1,,,,,,,,,,,,,,,,,,,,,,,,
95142,共産主義労働者党,85690,17252,False,0,,,,,,,,,,,,,,,,,,,,,,,,
95513,モザンビーク解放戦線,51067,11604,False,1,36,0,5,0,0,0,1,3,6,7,2,0,2,6,1,0,0,0,0,2,0,0,0,1
99205,国民協同党,156281,35158,False,1,,,,,,,,,,,,,,,,,,,,,,,,
99206,社会革新党,47771,10243,False,0,,,,,,,,,,,,,,,,,,,,,,,,
99928,ソマリ社会主義革命党,31389,9492,False,1,,,,,,,,,,,,,,,,,,,,,,,,
99977,ロシア自由民主党,40255,10583,False,1,,,,,,,,,,,,,,,,,,,,,,,,
100048,統一ロシア,73581,18137,False,1,,,,,,,,,,,,,,,,,,,,,,,,
100062,ロシア連邦共産党,86001,24623,False,1,104,3,20,0,1,0,2,6,17,18,2,0,3,7,3,2,0,8,1,0,3,7,0,1
100468,神奈川ネットワーク運動,71800,24580,False,1,,,,,,,,,,,,,,,,,,,,,,,,
100480,第二院クラブ,45213,15050,False,0,,,,,,,,,,,,,,,,,,,,,,,,
100493,立憲国民党,40341,10606,False,1,30,0,0,0,0,0,0,6,3,1,0,2,2,7,1,0,0,2,0,0,3,0,2,1
100498,革新倶楽部,38996,9826,False,1,,,,,,,,,,,,,,,,,,,,,,,,
100506,政友本党,66579,22910,False,1,,,,,,,,,,,,,,,,,,,,,,,,
100646,政党・尊命,31358,8141,False,0,,,,,,,,,,,,,,,,,,,,,,,,
100717,ホイッグ党 (イギリス),65344,22213,False,1,,,,,,,,,,,,,,,,,,,,,,,,
101182,トーリー党,26281,7430,False,0,,,,,,,,,,,,,,,,,,,,,,,,
106466,愛国救済運動,30713,7430,False,0,,,,,,,,,,,,,,,,,,,,,,,,
107823,なかよしの党,60020,19464,False,1,60,0,1,0,0,0,2,9,13,2,0,0,1,0,1,4,0,11,0,8,0,5,2,1
110380,スポーツ平和党,49927,14516,False,1,,,,,,,,,,,,,,,,,,,,,,,,
111493,大衆党,27780,7004,False,0,,,,,,,,,,,,,,,,,,,,,,,,
111503,国民党 (日本),30542,8016,False,0,11,0,5,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,1
115022,統一マレー国民組織,76348,33456,False,0,,,,,,,,,,,,,,,,,,,,,,,,
115023,マレーシア華人協会,37868,8980,False,0,,,,,,,,,,,,,,,,,,,,,,,,
115025,ベトナム共産党,68068,15382,False,1,,,,,,,,,,,,,,,,,,,,,,,,
115026,ネパール共産党統一マルクス・レーニン主義派,80871,19929,False,1,,,,,,,,,,,,,,,,,,,,,,,,
115034,イスラム協会 (バングラデシュ),37895,9111,False,1,,,,,,,,,,,,,,,,,,,,,,,,
115038,パキスタン人民党,48755,10453,False,1,,,,,,,,,,,,,,,,,,,,,,,,
115827,ソビエト連邦共産党,74755,19588,False,1,87,14,20,0,1,1,1,1,20,7,5,3,1,1,1,0,0,2,1,0,2,4,1,1
115830,ハンガリー社会主義労働者党,41433,11098,False,1,,,,,,,,,,,,,,,,,,,,,,,,
115835,ハンガリー社会党,83860,24717,False,1,,,,,,,,,,,,,,,,,,,,,,,,
116036,新政クラブ,25070,7366,False,0,,,,,,,,,,,,,,,,,,,,,,,,
116731,進歩人民連合,29786,7101,False,0,,,,,,,,,,,,,,,,,,,,,,,,
116816,キリスト教社会同盟,62961,13612,False,1,,,,,,,,,,,,,,,,,,,,,,,,
118394,タンザニア革命党,29578,7505,False,0,,,,,,,,,,,,,,,,,,,,,,,,
118802,アルメニア共和党,36138,7649,False,1,23,0,3,0,1,0,2,2,4,4,0,0,1,0,1,0,0,0,0,5,0,0,0,0
120328,全ギリシャ社会主義運動,52579,15845,False,1,,,,,,,,,,,,,,,,,,,,,,,,
121532,改革クラブ (1998-2002),41272,10905,False,1,37,0,0,0,0,0,5,6,2,2,0,9,3,5,1,0,0,0,0,0,0,0,3,1
121544,新党友愛,68453,13409,False,1,,,,,,,,,,,,,,,,,,,,,,,,
128245,ファランヘ党 (レバノン),34225,10201,False,1,,,,,,,,,,,,,,,,,,,,,,,,
129222,アマル,31878,8828,False,1,,,,,,,,,,,,,,,,,,,,,,,,
129612,ネットワーク横浜,39896,11883,False,1,,,,,,,,,,,,,,,,,,,,,,,,
132263,人民党 (タイ),29292,7735,False,1,10,0,2,0,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0
136987,愛国公党,33905,8830,False,2,,,,,,,,,,,,,,,,,,,,,,,,
143015,公正発展党,64799,17367,False,1,,,,,,,,,,,,,,,,,,,,,,,,
145226,共和人民党,72885,23207,False,1,,,,,,,,,,,,,,,,,,,,,,,,
145816,国民の声,38710,9705,False,1,,,,,,,,,,,,,,,,,,,,,,,,
147557,インド国民会議,71841,19297,False,1,,,,,,,,,,,,,,,,,,,,,,,,
150319,南西アフリカ人民機構,39906,10543,False,1,,,,,,,,,,,,,,,,,,,,,,,,
180206,日本労働党,55119,15776,False,1,,,,,,,,,,,,,,,,,,,,,,,,
180314,ファシスト党,107930,31031,False,2,,,,,,,,,,,,,,,,,,,,,,,,
182893,ユーゴスラビア共産主義者同盟,63823,20453,False,1,,,,,,,,,,,,,,,,,,,,,,,,
185859,キューバ共産党,53020,12555,False,1,66,0,15,0,1,1,5,8,10,2,3,0,3,0,1,0,0,1,2,13,0,0,0,1
192065,連邦党,28955,8868,False,1,26,0,3,0,0,0,0,0,8,2,0,0,2,0,0,4,0,5,0,0,0,0,1,1
194857,国民運動連合,52699,11672,False,1,,,,,,,,,,,,,,,,,,,,,,,,
195275,社会革命党,48595,11795,False,1,,,,,,,,,,,,,,,,,,,,,,,,
197503,左翼党 (ドイツ),118471,31668,False,1,180,0,43,0,0,0,8,15,4,9,4,0,3,50,3,0,0,2,0,8,28,2,0,1
203579,社会党 (フランス),93221,23967,False,1,,,,,,,,,,,,,,,,,,,,,,,,
203948,保守党 (イギリス),130349,37739,False,1,,,,,,,,,,,,,,,,,,,,,,,,
204228,レバノン軍団,33876,8940,False,1,,,,,,,,,,,,,,,,,,,,,,,,
205240,コロンビア革命軍,71334,24314,False,1,,,,,,,,,,,,,,,,,,,,,,,,
205923,労働党 (イギリス),177126,33813,False,1,,,,,,,,,,,,,,,,,,,,,,,,
208051,トーリー党 (イギリス),57357,22837,False,1,,,,,,,,,,,,,,,,,,,,,,,,
209156,赤道ギニア進歩党,30858,7917,False,0,,,,,,,,,,,,,,,,,,,,,,,,
209172,ガボン民主党,35291,8897,False,1,,,,,,,,,,,,,,,,,,,,,,,,
210935,自由党 (イギリス),43929,10822,False,1,,,,,,,,,,,,,,,,,,,,,,,,
211185,メンシェヴィキ,36521,14010,False,0,,,,,,,,,,,,,,,,,,,,,,,,
211213,国家社会主義日本労働者党,44161,12110,False,1,,,,,,,,,,,,,,,,,,,,,,,,
211820,スーダン人民解放軍,48105,12679,False,2,,,,,,,,,,,,,,,,,,,,,,,,
212368,人民党 (セーシェル),29534,7979,False,0,,,,,,,,,,,,,,,,,,,,,,,,
220759,共和国連合,22087,6558,False,0,,,,,,,,,,,,,,,,,,,,,,,,
220856,我が家ロシア,22671,7151,False,0,,,,,,,,,,,,,,,,,,,,,,,,
221166,フランス民主連合,84279,36235,False,1,,,,,,,,,,,,,,,,,,,,,,,,
222831,新韓民主党,59369,12390,False,1,,,,,,,,,,,,,,,,,,,,,,,,
223953,統一民主党,58170,11638,False,1,,,,,,,,,,,,,,,,,,,,,,,,
224052,民主正義党,66907,13829,False,2,,,,,,,,,,,,,,,,,,,,,,,,
224056,新民主共和党,55260,10157,False,1,,,,,,,,,,,,,,,,,,,,,,,,
224384,民主共和党 (韓国),72597,14930,False,2,,,,,,,,,,,,,,,,,,,,,,,,
224626,日本再建連盟,26378,7798,False,0,,,,,,,,,,,,,,,,,,,,,,,,
227386,労働農民党,48705,12049,False,1,,,,,,,,,,,,,,,,,,,,,,,,
228138,祖国 (ロシア),36818,9607,False,0,,,,,,,,,,,,,,,,,,,,,,,,
230204,左翼民主主義者 (イタリア),58429,11445,False,1,,,,,,,,,,,,,,,,,,,,,,,,
231183,イタリア共産党,57741,16823,False,1,,,,,,,,,,,,,,,,,,,,,,,,
231736,社会主義労働者党 (日本),53977,13714,False,0,,,,,,,,,,,,,,,,,,,,,,,,
231753,「がんばろう、日本!」国民協議会,32695,9274,False,0,,,,,,,,,,,,,,,,,,,,,,,,
232760,沖縄人民党,84001,18058,False,1,,,,,,,,,,,,,,,,,,,,,,,,
233226,スコットランド国民党,163350,38821,False,1,,,,,,,,,,,,,,,,,,,,,,,,
233228,バタスナ,24957,8390,False,0,31,0,4,0,0,0,0,0,15,3,0,0,1,0,4,2,0,1,0,0,0,1,0,0
233232,集中と統一,111926,23861,False,1,,,,,,,,,,,,,,,,,,,,,,,,
233549,東林党,29994,8862,False,0,,,,,,,,,,,,,,,,,,,,,,,,
234903,クルディスタン愛国同盟,53838,10854,False,1,,,,,,,,,,,,,,,,,,,,,,,,
234918,クルディスタン民主党,60465,12618,False,1,,,,,,,,,,,,,,,,,,,,,,,,
236615,民主労働党 (韓国),115023,32259,False,2,,,,,,,,,,,,,,,,,,,,,,,,
240175,国民党 (スペイン),139049,25114,False,1,,,,,,,,,,,,,,,,,,,,,,,,
240627,スウェーデン社会民主労働党,69371,15802,False,1,,,,,,,,,,,,,,,,,,,,,,,,
241179,ネパール共産党統一毛沢東主義派,119757,35237,False,1,227,4,54,0,0,0,29,6,10,16,3,0,4,66,3,0,0,4,0,27,0,0,0,1
241613,国民民主党 (ネパール),36779,8643,False,1,,,,,,,,,,,,,,,,,,,,,,,,
244994,衛星政党,50797,11243,False,0,,,,,,,,,,,,,,,,,,,,,,,,
246684,社会党 (ポルトガル),74754,16260,False,1,,,,,,,,,,,,,,,,,,,,,,,,
246703,ノルウェー労働党,38988,9036,False,1,,,,,,,,,,,,,,,,,,,,,,,,
248182,デンマーク社会民主党,42102,9809,False,1,,,,,,,,,,,,,,,,,,,,,,,,
253066,アフガニスタン人民民主党,57326,15705,False,1,,,,,,,,,,,,,,,,,,,,,,,,
255459,同盟90/緑の党,109441,25349,False,1,,,,,,,,,,,,,,,,,,,,,,,,
256855,サンディニスタ民族解放戦線,62901,15739,False,1,,,,,,,,,,,,,,,,,,,,,,,,
261295,州権民主党,46266,17006,False,1,51,0,7,0,0,0,0,0,6,3,0,8,2,20,3,0,0,0,0,0,0,0,1,1
263115,内モンゴル人民党,30463,8129,False,0,,,,,,,,,,,,,,,,,,,,,,,,
267378,ロシア農業党,31397,8908,False,1,,,,,,,,,,,,,,,,,,,,,,,,
275493,立憲民政党,79275,21608,False,1,,,,,,,,,,,,,,,,,,,,,,,,
275519,制度的革命党,47319,12851,False,1,,,,,,,,,,,,,,,,,,,,,,,,
281845,新民主主義党,45519,11810,False,1,,,,,,,,,,,,,,,,,,,,,,,,
286563,フロム・ファイブ,64898,13122,False,1,,,,,,,,,,,,,,,,,,,,,,,,
290137,革新党,36852,8575,False,1,19,0,2,0,0,0,0,0,0,1,0,2,4,3,0,0,0,1,0,0,1,0,4,1
292809,民主社会党 (ドイツ),111063,27445,False,1,,,,,,,,,,,,,,,,,,,,,,,,
293749,立憲養正會,57233,14707,False,1,,,,,,,,,,,,,,,,,,,,,,,,
296675,ズデーテン・ドイツ人党,71802,13784,False,0,,,,,,,,,,,,,,,,,,,,,,,,
297670,自由民主党 (イギリス),63049,16564,False,1,,,,,,,,,,,,,,,,,,,,,,,,
299144,青年国際党,25528,7448,False,0,,,,,,,,,,,,,,,,,,,,,,,,
305253,ビオコ自治運動,32197,9519,False,0,23,0,0,0,0,0,2,2,3,9,0,0,0,5,0,0,0,0,0,0,0,1,0,1
305618,進歩党 (韓国),59773,12035,False,1,,,,,,,,,,,,,,,,,,,,,,,,
308096,ギリシャ共産党,40438,11660,False,1,,,,,,,,,,,,,,,,,,,,,,,,
308227,ビルマ社会主義計画党,30368,8817,False,1,,,,,,,,,,,,,,,,,,,,,,,,
308673,民主党 (日本 1998-2016),452378,155590,False,1,,,,,,,,,,,,,,,,,,,,,,,,
310063,新党大地,170579,43713,False,1,,,,,,,,,,,,,,,,,,,,,,,,
311097,東京・生活者ネットワーク,58742,17858,False,1,,,,,,,,,,,,,,,,,,,,,,,,
312158,新党日本,114744,37970,False,1,,,,,,,,,,,,,,,,,,,,,,,,
317770,オーストリア社会民主党,91109,22878,False,1,91,1,9,0,1,1,1,5,33,6,4,3,4,3,2,0,0,10,4,1,2,0,0,1
321924,日本進歩党,146870,25202,False,1,,,,,,,,,,,,,,,,,,,,,,,,
323219,親民党,38203,9088,False,1,,,,,,,,,,,,,,,,,,,,,,,,
325093,中国同盟会,39341,10985,False,0,,,,,,,,,,,,,,,,,,,,,,,,
325517,東方会,44944,11672,False,1,,,,,,,,,,,,,,,,,,,,,,,,
325655,研究会 (貴族院),45863,16173,False,1,,,,,,,,,,,,,,,,,,,,,,,,
326869,新韓国党,62041,11232,False,2,,,,,,,,,,,,,,,,,,,,,,,,
328927,フィンランド中央党,41821,9520,False,1,,,,,,,,,,,,,,,,,,,,,,,,
329718,ドイツ自由民主党,64575,14234,False,1,,,,,,,,,,,,,,,,,,,,,,,,
330346,自由民主党 (ドイツ),89626,18377,False,1,39,0,8,0,0,0,4,6,6,3,4,0,2,2,1,0,0,2,0,0,0,0,0,1
338541,共産主義再建党,65480,16964,False,1,,,,,,,,,,,,,,,,,,,,,,,,
341434,イタリア社会党,62574,13008,False,1,,,,,,,,,,,,,,,,,,,,,,,,
341459,新イタリア社会党,45476,10943,False,1,,,,,,,,,,,,,,,,,,,,,,,,
342444,民主革命党 (メキシコ),56524,15313,False,1,,,,,,,,,,,,,,,,,,,,,,,,
342455,民主革命党 (パナマ),35327,8778,False,1,,,,,,,,,,,,,,,,,,,,,,,,
344278,青年自由党,36870,12266,False,0,,,,,,,,,,,,,,,,,,,,,,,,
345790,共和トルコ党,31627,7725,False,0,,,,,,,,,,,,,,,,,,,,,,,,
350029,統一人民民主党,26693,7225,False,0,,,,,,,,,,,,,,,,,,,,,,,,
