page_id,title,html_file_size,text_file_size,is_disambiguation_page,infobox_count,num_annotations,公園,別名,動物,名前の謂れ,国,属する海域,島,幅,平均水深,座標・経度,座標・緯度,形成時期,所在地,最大水深,構成する海域,橋・トンネル,水深,河川,沿岸地域区分,流速,海岸,港,産業,種類,表面積,観光地,読み,長さ
5330,太平洋,218770,46956,False,1,401,0,9,6,1,130,0,69,1,2,0,0,0,1,2,68,0,0,0,22,0,0,83,3,1,2,0,1,0
6542,日本海,107092,27707,False,0,224,16,32,27,0,19,6,22,0,1,0,0,1,2,1,12,0,0,0,69,0,1,0,6,2,1,5,1,0
8742,大西洋,184182,51852,False,1,370,0,1,6,0,152,0,28,1,1,0,0,1,1,1,76,0,0,19,73,0,0,0,6,2,1,0,1,0
9570,インド洋,186041,49720,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12977,エーゲ海,65932,15102,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13370,地中海,162788,45090,False,1,279,0,16,0,5,99,1,29,0,1,4,4,1,2,1,20,0,0,10,76,0,0,0,4,4,1,0,1,0
19542,マルマラ海,50625,10779,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21142,マゼラン海峡,29698,8450,False,0,18,0,8,0,3,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
24054,瀬戸内海,194995,59904,False,0,483,1,6,95,2,1,0,52,1,2,2,2,1,1,2,54,6,0,11,131,0,1,24,53,5,2,26,1,1
26301,黒海,138599,43964,False,2,329,0,27,5,1,112,1,1,0,2,4,4,0,2,4,0,0,0,18,86,0,11,23,11,5,3,5,2,2
26745,バルト海,189514,58762,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26747,北海,153088,42676,False,1,190,0,9,5,0,77,5,15,2,2,5,5,0,1,2,3,0,0,16,13,0,0,8,16,1,2,0,1,2
27795,東シナ海,80108,16504,False,4,69,0,27,0,0,8,1,7,0,0,0,0,0,4,0,1,0,2,1,0,0,0,0,2,2,0,0,14,0
27915,対馬海峡,50248,14896,False,0,53,0,25,0,0,3,0,9,1,1,0,0,0,1,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0
29541,オホーツク海,56628,13482,False,0,71,2,3,11,1,0,5,22,0,1,0,0,0,3,1,5,0,2,4,4,0,0,1,2,2,1,0,1,0
29546,宗谷海峡,40591,11551,False,0,35,0,4,0,1,3,0,10,1,0,2,2,0,1,1,0,0,0,0,6,0,0,1,0,2,0,0,1,0
32119,黄海,57652,13406,False,3,56,0,23,0,1,11,2,2,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,1,2,0,0,5,0
32645,南シナ海,98477,22735,False,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37541,珊瑚海,48290,10319,False,0,19,0,1,0,0,2,0,5,0,0,0,0,1,2,0,3,0,0,0,3,0,0,0,0,1,0,0,1,0
39115,ジブラルタル海峡,39911,10768,False,0,36,0,3,0,0,5,0,0,2,0,2,2,1,5,1,0,0,1,0,9,1,0,0,0,1,0,2,1,0
44315,津軽海峡,61428,16929,False,0,45,0,2,0,0,3,0,0,3,0,3,3,0,1,1,0,2,1,0,15,0,0,8,0,1,0,0,1,1
46998,モザンビーク海峡,53672,10992,False,0,18,0,2,0,0,5,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
48508,テチス海,29357,8837,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51240,ボスポラス海峡,44364,12422,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52649,台湾海峡,33217,9002,False,1,27,0,1,0,0,2,0,4,1,0,2,2,0,1,0,0,0,1,0,8,0,0,0,0,1,0,0,4,0
52651,朝鮮海峡,22789,6455,False,0,11,0,3,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
55248,アゾフ海,49147,10863,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57222,ケルチ海峡,40239,10482,False,0,36,0,4,0,0,15,0,3,0,0,0,0,0,2,0,0,1,0,0,6,0,0,3,0,1,0,0,1,0
57345,間宮海峡,37538,12384,False,0,71,0,17,0,1,1,0,20,1,0,0,0,0,1,0,5,0,1,4,4,0,0,0,0,14,0,0,1,1
57795,カリブ海,124459,45123,False,1,212,0,3,0,1,94,0,61,0,0,4,4,0,3,3,3,0,0,6,18,0,0,0,3,2,3,3,1,0
62967,ダーダネルス海峡,34400,10425,False,0,19,0,8,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,1,1
62980,マラッカ海峡,148905,44200,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63562,ティレニア海,93727,17577,False,1,147,0,7,0,1,7,3,63,0,2,4,4,0,8,0,28,0,0,11,6,0,0,0,0,1,0,1,1,0
79662,宇和海,24860,7087,False,0,28,1,0,3,0,0,1,10,0,0,0,0,0,3,0,1,0,0,0,3,0,1,0,3,1,0,0,1,0
80609,北極海,187477,48896,False,1,262,1,7,8,0,62,11,32,0,1,0,0,0,1,1,54,0,0,11,55,0,0,2,10,3,2,0,1,0
85955,根室海峡,47834,10217,False,0,31,0,0,0,0,4,0,7,1,0,0,0,0,1,0,8,0,0,0,6,0,0,0,0,2,0,0,1,1
91685,播磨灘,34938,8344,False,0,73,0,0,4,0,0,1,12,0,0,0,0,0,2,1,0,0,2,12,34,0,0,2,0,1,1,0,1,0
93085,有明海,77732,26932,False,0,197,0,3,81,0,2,0,2,0,1,0,0,1,3,1,12,6,0,14,29,0,2,24,6,7,1,1,1,0
93691,八代海,28486,7845,False,0,37,0,3,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,16,0,0,10,1,1,1,0,1,0
94241,明石海峡,59850,18784,False,0,47,1,1,12,0,0,0,4,2,0,2,2,0,2,2,0,4,0,0,2,2,1,0,2,2,0,5,1,0
95545,イオニア海,59763,12165,False,1,60,0,4,0,0,14,3,6,0,0,4,4,0,4,1,8,0,0,2,8,0,0,0,0,1,0,0,1,0
95898,豊後水道,35886,9714,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95899,豊予海峡,28934,8691,False,0,23,0,2,4,1,0,1,1,1,0,0,0,0,2,1,0,0,0,0,4,0,0,3,0,1,0,1,1,0
95903,針尾瀬戸,31653,7840,False,1,43,0,3,0,0,2,2,2,1,0,6,6,0,2,0,0,3,0,0,9,1,1,0,0,2,0,2,1,0
95935,紀淡海峡,35239,9486,False,0,40,0,1,1,0,0,0,10,1,0,0,0,0,2,0,9,0,1,0,8,1,0,2,1,2,0,0,1,0
95936,鳴門海峡,38130,10348,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96131,アンダマン海,48239,10353,False,0,27,0,4,0,0,1,1,9,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,2,1,0
97007,関門海峡,51720,16917,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97512,ドーバー海峡,46792,15143,False,0,51,0,4,0,1,13,7,0,1,0,0,0,1,4,0,0,1,0,0,11,0,2,0,0,4,0,1,1,0
97523,イギリス海峡,111718,24416,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99550,ベーリング海峡,63418,14576,False,0,27,0,4,0,1,5,0,1,1,0,2,2,0,2,0,0,0,1,0,5,0,0,0,0,1,0,0,1,1
99554,ベーリング海,50923,10466,False,0,30,0,1,2,1,2,1,4,0,0,2,2,0,1,0,3,0,0,0,8,0,0,0,0,1,1,0,1,0
100359,フィリピン海,53099,11490,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100871,占守海峡,52845,12339,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100878,択捉水道,49327,10329,False,0,20,0,3,0,0,0,0,10,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0
106766,南極海,162481,49525,False,1,149,0,9,34,0,0,0,27,0,1,0,0,1,1,1,49,0,0,0,6,0,0,0,3,13,1,2,1,0
109400,響灘,41263,11555,False,1,106,1,2,5,1,10,4,15,0,0,6,6,0,3,0,0,0,0,0,44,0,1,4,1,2,0,0,1,0
129491,ユカタン海峡,28049,7326,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133525,サンベルナルジノ海峡,26551,7516,False,0,16,0,1,0,0,3,0,2,0,0,3,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
133545,バシー海峡,33702,8452,False,1,21,0,3,0,0,2,1,3,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4,0,0,4,0
137910,来島海峡,33839,11752,False,0,41,3,0,0,0,3,2,10,0,0,0,0,0,2,0,9,3,0,0,2,1,0,0,0,1,0,4,1,0
144566,アイリッシュ海,70507,16758,False,0,105,0,4,0,0,11,0,11,0,0,0,0,0,1,0,5,0,0,0,62,0,0,5,4,1,0,0,1,0
148581,熊野灘,43918,11623,False,1,82,0,0,7,0,7,6,1,0,0,6,6,0,1,0,0,0,1,0,31,0,3,0,6,1,0,5,1,0
177132,ジョホール海峡,29274,8373,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177144,ホルムズ海峡,35032,10407,False,0,27,0,4,0,0,9,0,2,1,0,2,2,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0
181502,渤海 (海域),52474,11620,False,0,29,0,0,0,0,1,0,1,0,1,0,0,0,1,0,5,0,0,4,3,0,0,1,5,2,1,0,3,1
189110,バブ・エル・マンデブ海峡,40359,11505,False,0,24,0,4,0,3,6,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0
190878,カラ海,46680,10270,False,0,20,0,3,0,0,2,1,3,0,1,0,0,0,2,0,0,0,0,4,0,0,0,2,0,1,1,0,0,0
190905,ラプテフ海,47636,10142,False,0,20,0,3,0,1,2,2,2,0,1,0,0,0,1,0,0,0,1,1,3,0,0,0,0,1,1,0,1,0
191200,ロス海,64073,12207,False,1,26,0,3,2,1,0,2,2,0,0,4,4,0,4,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
191221,ウェッデル海,58433,11103,False,0,17,0,1,0,1,0,1,3,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,3,1,0,0,0
191257,東シベリア海,43531,8970,False,0,13,0,3,0,0,1,1,2,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0
191421,ドレーク海峡,32835,8966,False,0,19,0,3,0,1,1,1,1,1,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0
191435,バス海峡,29481,8012,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191593,ハドソン海峡,25666,6930,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191687,デービス海峡,51944,10801,False,0,24,0,2,0,1,3,0,1,1,0,0,0,1,1,1,1,0,1,0,6,0,0,0,0,5,0,0,0,0
192676,ボーフォート海,54865,11831,False,0,25,0,2,2,1,8,1,1,0,0,0,0,0,1,0,0,0,0,2,4,0,0,0,1,1,1,0,0,0
193693,バレンツ海,59647,12817,False,0,24,0,1,0,1,7,1,3,0,0,0,0,0,4,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0
194011,フロリダ海峡,30223,7814,False,0,14,0,1,0,0,2,0,1,0,0,2,2,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
194806,ノルウェー海,61251,12812,False,1,54,0,1,0,0,8,1,15,0,2,6,6,0,2,2,4,0,0,0,0,0,0,0,1,3,2,0,1,0
195064,スールー海,49755,10284,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196767,土渕海峡,28645,7961,False,0,16,0,0,0,1,0,0,2,2,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,5,0,0,1,1
197188,アラビア海,47764,9935,False,0,23,0,0,0,0,9,1,2,0,0,0,0,0,4,1,2,0,0,1,0,0,0,0,0,2,0,0,1,0
198708,カリマタ海峡,22739,6153,False,0,11,0,1,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
198720,スンダ海峡,27084,7924,False,0,15,0,1,0,0,0,0,7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0
198734,シチリア海峡,31664,8600,False,1,50,0,16,0,0,4,3,5,1,0,4,4,0,3,2,3,0,0,0,4,0,0,0,0,1,0,0,0,0
198760,マカッサル海峡,47998,10010,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200862,モナ海峡,25473,6643,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200876,カルスキエボロタ海峡,44704,8963,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202012,済州海峡,23941,6148,False,1,13,0,2,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0
202278,カウアイ海峡,27802,7401,False,0,11,0,1,0,0,1,0,4,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
202280,ジャマイカ海峡,25653,6747,False,0,17,0,1,0,0,1,1,3,1,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
202287,瓊州海峡,25425,6741,False,0,14,0,2,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0
202291,バトゥイラ海峡,21473,5808,False,0,11,0,1,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0
202363,オトラント海峡,30172,8525,False,0,22,0,1,0,2,7,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,6,0,0,0,0
202647,ハワイ諸島の海峡,33001,9057,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203733,サイパン海峡,24128,6332,False,0,9,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
204038,ムンタワイ海峡,25354,6801,False,0,10,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0
204729,玄界灘,58203,13629,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205763,カテガット海峡,28201,7732,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205989,チュクチ海,46972,9644,False,0,15,0,3,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,1,1,0,1,0
206017,ファンデフカ海峡,28388,7426,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207193,スカゲラク海峡,37978,8904,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207245,シンガポール海峡,25759,7277,False,0,24,1,2,0,0,8,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,3,0,0,1,0
207446,マトチキン海峡,24542,6574,False,0,11,0,2,0,0,0,0,0,1,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
208651,グリーンランド海,56321,11515,False,1,34,0,1,0,0,6,0,8,0,0,5,5,0,2,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0
210142,紀伊水道,38318,9173,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211732,マキナック海峡,25294,7108,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212627,日向灘,36173,8658,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219217,ミンダナオ海,48605,9926,False,0,24,0,3,2,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0
219396,セレベス海,52834,11079,False,0,32,0,3,3,0,5,1,8,1,0,0,0,2,2,1,0,0,0,0,1,0,0,0,1,2,1,0,0,1
219554,タノン海峡,22689,5934,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219859,ボホール海峡,24618,6646,False,0,15,0,3,0,0,2,0,6,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
220500,マケダ海峡,23958,6579,False,0,7,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
222685,バミューダトライアングル,55464,24105,False,0,11,0,3,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0
223371,コロ海,42923,8648,False,0,7,0,1,0,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
226335,リグリア海,62316,12803,False,1,66,0,4,0,0,7,3,10,0,0,4,4,0,4,0,2,0,0,0,16,0,5,3,0,1,0,3,0,0
228552,スコシア海,51977,10501,False,1,30,0,2,0,1,0,6,5,0,0,5,5,0,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
233166,地中海 (海洋学),26809,8404,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254436,釣島海峡,26671,7298,False,0,14,0,1,0,0,0,0,4,0,0,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
254439,早岐瀬戸,29936,10419,False,0,39,0,3,1,0,0,0,4,1,0,0,0,0,2,0,0,11,1,0,6,0,0,2,1,1,0,4,1,1
276692,遠州灘,46016,11003,False,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291071,スリガオ海峡,29741,8070,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326799,メッシーナ海峡,27881,7852,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330619,平舘海峡,27198,7619,False,0,10,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,1,0,0,1,0
330624,ノース海峡 (イギリス),21252,5684,False,0,15,0,2,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0
352398,国際海峡,63094,17762,False,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360317,ベルアイル海峡,29136,9349,False,0,29,0,3,0,2,2,0,7,3,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,1,0,0,1,1
367106,ビーグル水道,28555,7757,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369171,ドルフィンアンドユニオン海峡,23974,6513,False,0,11,0,2,0,1,1,0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
369486,プリンスオブウェールズ海峡,25584,6934,False,0,8,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
369555,マクルアー海峡,24239,6897,False,0,17,0,2,0,1,3,2,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0
369659,ネアズ海峡,31289,7966,False,0,21,0,2,0,1,6,1,3,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
370277,デンマーク海峡,45040,9403,False,0,14,0,1,0,0,4,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
370307,バリンタン海峡,20434,5588,False,0,15,0,1,0,0,2,0,4,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0
370375,ボニファシオ海峡,29068,7558,False,0,16,0,3,0,0,2,0,2,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
370405,カボット海峡,22099,6242,False,0,15,0,1,0,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0
370442,チャタム海峡,21259,5875,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370460,クラレンス海峡 (アメリカ),24209,6291,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377930,周防灘,33121,9332,False,0,63,0,1,8,0,0,2,3,0,0,0,0,0,2,0,2,0,0,0,37,0,1,0,5,1,0,0,1,0
379507,安芸灘,25234,7168,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379516,斎灘,24875,7180,False,0,15,0,0,2,1,0,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0
379522,備後灘,24957,6868,False,0,21,1,0,4,0,0,1,4,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,2,1,0,1,1,0
